Supplemental Data1:  Measurements of Protein degradation rates in hydroponic plants Arabidopsis,,,,,,,,,,,,,
Criteria: 1. Quantified KD at least two biological Replicates. 2.At least three peptides were used for KD Measurements.3. Outliers in Major Fun Cats (no less than 4 proteins) were highlighted by Red-Bold Fonts.,,,,,,,,,,,,,
AGI,Anno,Location SUBAcon,bincode,binname,Functional Categories (no less than 4 proteins at the 2nd level Mapcave of binname),WTR1 KD (FCP=2.73),WTR2 KD (FCP=2.51),WTR3 KD (FCP=2.64),WT KD (Average),Rep NO,SD,Pep NO,KD Value Rank (1-455)
AT3G52300.1,"  Symbols: ATPQ   ATP synthase D chain, mitochondrial   chr3:19396689-19398119 FORWARD LENGTH=168",mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,0.06,0.06,0.05,0.06,3,0.01,22,222
"AT5G08670.1, AT5G08680.1, AT5G08690.1","  Symbols:    ATP synthase alpha/beta family protein   chr5:2818395-2821149 REVERSE LENGTH=556,  Symbols:    ATP synthase alpha/beta family protein   chr5:2821992-2824683 FORWARD LENGTH=559,  Symbols:    ATP synthase alpha/beta family protein   chr5:2825739-2828352 FORWARD LENGTH=556",mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,0.06,0.06,0.06,0.06,3,0.01,101,238
ATMG00640.1,"  Symbols: ORF25   hydrogen ion transporting ATP synthases, rotational mechanism;zinc ion binding   chrM:188084-188662 REVERSE LENGTH=192",mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,0.07,0.06,0.06,0.06,3,0.01,27,239
AT5G13450.1,  Symbols: ATP5   delta subunit of Mt ATP synthase   chr5:4310558-4311941 REVERSE LENGTH=238,mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,0.07,0.07,0.07,0.07,3,0.01,12,253
AT1G51650.1,"  Symbols:    ATP synthase epsilon chain, mitochondrial   chr1:19152680-19153641 FORWARD LENGTH=70",mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,0.05,0.07,0.08,0.07,3,0.01,5,258
AT2G33040.1,  Symbols: ATP3   gamma subunit of Mt ATP synthase   chr2:14018978-14021047 REVERSE LENGTH=325,mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,0.07,0.07,0.07,0.07,3,0.01,58,259
AT5G47030.1,"  Symbols:    ATPase, F1 complex, delta/epsilon subunit   chr5:19090384-19092034 FORWARD LENGTH=203",mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,0.07,0.07,0.07,0.07,3,0.02,15,263
AT5G60730.1,  Symbols:    Anion-transporting ATPase   chr5:24422838-24425352 FORWARD LENGTH=391,mitochondrion,#9.9,mitochondrial electron transport / ATP synthesis.F1-ATPase ,Complex V,0.09,0.1,0.05,0.08,3,0.02,4,283
ATMG00180.1,  Symbols: CCB452   cytochrome C biogenesis 452   chrM:51293-53611 REVERSE LENGTH=452,mitochondrion,#9.6,mitochondrial electron transport / ATP synthesis.cytochrome c,Cytochrome c,0,-0.01,0.02,0,3,0.02,3,59
AT4G10040.1,  Symbols: CYTC-2   cytochrome c-2   chr4:6277083-6278281 FORWARD LENGTH=112,mitochondrion,#9.6,mitochondrial electron transport / ATP synthesis.cytochrome c,Cytochrome c,0.03,0.04,0.06,0.04,3,0.02,6,166
"AT5G40810.1, AT5G40810.2","  Symbols:    Cytochrome C1 family   chr5:16340200-16342327 FORWARD LENGTH=307,  Symbols:    Cytochrome C1 family   chr5:16340670-16342327 FORWARD LENGTH=260",mitochondrion,#9.6,mitochondrial electron transport / ATP synthesis.cytochrome c,Cytochrome c,0.06,0.05,0.06,0.05,3,0.02,16,214
AT3G27240.1,  Symbols:    Cytochrome C1 family   chr3:10056144-10058370 REVERSE LENGTH=307,mitochondrion,#9.6,mitochondrial electron transport / ATP synthesis.cytochrome c,Cytochrome c,0.06,0.07,0.07,0.06,3,0.01,13,247
AT1G32580.1,"  Symbols:    plastid developmental protein DAG, putative   chr1:11784108-11785430 FORWARD LENGTH=229",mitochondrion,#33.99,development.unspecified,Development,-0.1,0.05,0.04,-0.01,3,0.07,3,46
AT3G07060.1,  Symbols: emb1974   NHL domain-containing protein   chr3:2232760-2236913 FORWARD LENGTH=774,mitochondrion,#33.99,development.unspecified,Development,0.03,0.01,,0.02,2,0.03,3,104
AT4G03240.1,"  Symbols: ATFH, FH   frataxin homolog   chr4:1423685-1424758 REVERSE LENGTH=187",mitochondrion,#33.99,development.unspecified,Development,0.05,0.05,0.05,0.05,3,0.01,3,196
"AT5G44730.1, AT5G44730.2","  Symbols:    Haloacid dehalogenase-like hydrolase (HAD) superfamily protein   chr5:18045588-18046519 REVERSE LENGTH=255,  Symbols:    Haloacid dehalogenase-like hydrolase (HAD) superfamily protein   chr5:18045588-18046519 REVERSE LENGTH=255",mitochondrion,#33.99,development.unspecified,Development,0.06,0.05,0.07,0.06,3,0.02,29,226
AT5G25940.1,  Symbols:    early nodulin-related   chr5:9054252-9055151 REVERSE LENGTH=115,mitochondrion,#33.99,development.unspecified,Development,0.1,0.11,0.11,0.11,3,0.01,9,342
AT2G35240.1,"  Symbols:    plastid developmental protein DAG, putative   chr2:14845099-14846262 REVERSE LENGTH=232",mitochondrion,#33.99,development.unspecified,Development,0.24,0.24,0.25,0.24,3,0.01,3,440
AT1G24340.1,"  Symbols: EMB260, EMB2421   FAD/NAD(P)-binding oxidoreductase family protein   chr1:8635416-8638866 FORWARD LENGTH=709",mitochondrion,#26.7,"misc.oxidases - copper, flavone etc",misc oxidase,0.08,0.07,0.08,0.07,3,0.02,12,280
AT5G06580.1,  Symbols:    FAD-linked oxidases family protein   chr5:2011486-2016473 REVERSE LENGTH=567,mitochondrion,#26.7,"misc.oxidases - copper, flavone etc",misc oxidase,0.11,0.07,0.07,0.08,3,0.03,11,303
AT2G29720.1,  Symbols: CTF2B   FAD/NAD(P)-binding oxidoreductase family protein   chr2:12700592-12702289 REVERSE LENGTH=427,mitochondrion,#26.7,"misc.oxidases - copper, flavone etc",misc oxidase,0.04,0.13,0.11,0.09,3,0.04,3,317
"AT3G24200.1, AT3G24200.2","  Symbols:    FAD/NAD(P)-binding oxidoreductase family protein   chr3:8748095-8751575 REVERSE LENGTH=505,  Symbols:    FAD/NAD(P)-binding oxidoreductase family protein   chr3:8748095-8751166 REVERSE LENGTH=507",mitochondrion,#26.7,"misc.oxidases - copper, flavone etc",misc oxidase,0.22,0.24,0.26,0.24,3,0.02,13,435
AT5G41970.1,  Symbols:    Metal-dependent protein hydrolase   chr5:16791198-16792961 FORWARD LENGTH=373,mitochondrion,#35.2,not assigned.unknown,Not Assigned,-0.03,-0.03,-0.01,-0.03,3,0.01,7,9
AT3G05810.1,  Symbols:    FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: IGR protein motif (InterPro:IPR019083); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G26800.1); Has 62 Blast hits to 62 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 62; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr3:1731259-1732321 REVERSE LENGTH=112,mitochondrion,#35.2,not assigned.unknown,Not Assigned,-0.01,-0.02,-0.03,-0.02,3,0.01,3,15
AT3G56430.1,"  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, vacuole; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G40800.1); Has 3121 Blast hits to 1477 proteins in 196 species: Archae - 12; Bacteria - 170; Metazoa - 996; Fungi - 324; Plants - 132; Viruses - 59; Other Eukaryotes - 1428 (source: NCBI BLink).   chr3:20923653-20925696 REVERSE LENGTH=434",mitochondrion,#35.2,not assigned.unknown,Not Assigned,-0.03,-0.01,-0.02,-0.02,3,0,13,20
AT3G51010.1,"  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plastid; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 24 Blast hits to 24 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 24; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr3:18946880-18948048 REVERSE LENGTH=188",mitochondrion,#35.2,not assigned.unknown,Not Assigned,-0.01,0.01,-0.04,-0.02,3,0.02,4,25
AT5G26800.1,  Symbols:    FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; CONTAINS InterPro DOMAIN/s: IGR protein motif (InterPro:IPR019083); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G05810.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).   chr5:9425224-9426485 FORWARD LENGTH=112,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.01,0,-0.05,-0.01,3,0.03,5,30
"AT5G49210.1, AT5G49210.2","  Symbols:    unknown protein; Has 3675 Blast hits to 2315 proteins in 312 species: Archae - 2; Bacteria - 342; Metazoa - 1190; Fungi - 281; Plants - 114; Viruses - 4; Other Eukaryotes - 1742 (source: NCBI BLink).   chr5:19950093-19951464 FORWARD LENGTH=195,  Symbols:    unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).   chr5:19950093-19951464 FORWARD LENGTH=195",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0,-0.03,-0.01,-0.01,3,0.02,3,32
AT5G52370.1,  Symbols:    unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G58990.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).   chr5:21260558-21261203 REVERSE LENGTH=142,mitochondrion,#35.2,not assigned.unknown,Not Assigned,-0.01,-0.01,-0.01,-0.01,3,0.01,3,36
AT4G15640.1,  Symbols:    unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G21465.1); Has 38 Blast hits to 38 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 38; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr4:8919245-8921852 REVERSE LENGTH=390,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0,0.01,-0.03,-0.01,3,0.02,12,41
AT1G73940.1,  Symbols:    unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G49410.2); Has 54 Blast hits to 54 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 54; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr1:27798519-27799522 REVERSE LENGTH=151,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.01,0,-0.02,-0.01,3,0.02,10,49
AT5G39600.1,"  Symbols:    CONTAINS InterPro DOMAIN/s: Ribosomal protein L53, mitochondrial (InterPro:IPR019716); Has 50 Blast hits to 50 proteins in 19 species: Archae - 0; Bacteria - 0; Metazoa - 6; Fungi - 0; Plants - 42; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).   chr5:15854188-15854771 REVERSE LENGTH=127",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0,0,-0.01,0,3,0.01,19,52
AT5G02050.1,  Symbols:    Mitochondrial glycoprotein family protein   chr5:403239-404244 REVERSE LENGTH=267,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.01,0.02,0,0.01,3,0.01,14,71
"AT3G18240.1, AT3G18240.2","  Symbols:    Ribosomal protein S24/S35, mitochondrial   chr3:6255810-6257695 FORWARD LENGTH=419,  Symbols:    Ribosomal protein S24/S35, mitochondrial   chr3:6255810-6257695 FORWARD LENGTH=419",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0,0.03,0,0.01,3,0.01,6,73
AT4G31930.1,  Symbols:    Mitochondrial glycoprotein family protein   chr4:15449710-15450804 REVERSE LENGTH=234,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,,0.02,0.01,0.01,2,0,3,77
AT4G27585.1,  Symbols:    SPFH/Band 7/PHB domain-containing membrane-associated protein family   chr4:13766984-13769832 REVERSE LENGTH=411,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.01,0.01,0.01,0.01,3,0.01,47,79
"AT5G62270.1, AT5G62270.2","  Symbols:    BEST Arabidopsis thaliana protein match is: mucin-related (TAIR:AT2G02880.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).   chr5:25012227-25014007 FORWARD LENGTH=383,  Symbols:    FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: mucin-related (TAIR:AT2G02880.1).   chr5:25012227-25014486 FORWARD LENGTH=420",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.04,0.01,0,0.01,3,0.03,6,87
AT1G53645.1,  Symbols:    hydroxyproline-rich glycoprotein family protein   chr1:20026434-20028587 REVERSE LENGTH=523,mitochondrion,#35.1.41,not assigned.no ontology.hydroxyproline rich proteins,Not Assigned,0.01,0.03,0.01,0.01,3,0,14,91
AT1G04900.1,  Symbols:    Protein of unknown function (DUF185)   chr1:1383912-1387561 FORWARD LENGTH=442,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.02,0,0.03,0.02,3,0.02,14,96
"AT1G71310.1, AT1G71310.2","  Symbols:    cobalt ion binding   chr1:26878717-26879844 REVERSE LENGTH=176,  Symbols:    cobalt ion binding   chr1:26878717-26879844 REVERSE LENGTH=176",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.01,0.03,0.02,0.02,3,0,7,97
AT2G40090.1,"  Symbols: ATATH9, ATH9   ABC2 homolog 9   chr2:16737685-16740303 REVERSE LENGTH=538",mitochondrion,#35.1.1,not assigned.no ontology.ABC1 family protein,Not Assigned,0.02,0.01,0.02,0.02,3,0.02,16,99
"AT5G55125.1, AT5G55125.2","  Symbols:    Ribosomal protein L31   chr5:22372737-22372967 FORWARD LENGTH=76,  Symbols:    Ribosomal protein L31   chr5:22372737-22372967 FORWARD LENGTH=76",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.04,0.02,0.01,0.02,3,0.02,7,103
AT2G23370.1,  Symbols:    unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G34090.1); Has 73 Blast hits to 73 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 65; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).   chr2:9953067-9955018 REVERSE LENGTH=340,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.02,0.03,0.02,0.02,3,0,18,109
AT2G20940.1,  Symbols:    Protein of unknown function (DUF1279)   chr2:9002264-9002653 REVERSE LENGTH=129,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.01,0.03,0.03,0.02,3,0,9,111
AT5G54100.1,  Symbols:    SPFH/Band 7/PHB domain-containing membrane-associated protein family   chr5:21954035-21956500 REVERSE LENGTH=401,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.02,0.04,0.02,0.02,3,0,12,114
AT1G62730.1,  Symbols:    Terpenoid synthases superfamily protein   chr1:23229204-23230118 REVERSE LENGTH=304,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.02,0.03,0.03,0.02,3,0.01,14,119
"AT4G05400.1, AT4G05400.2","  Symbols:    copper ion binding   chr4:2741256-2742008 FORWARD LENGTH=250,  Symbols:    copper ion binding   chr4:2741256-2742008 FORWARD LENGTH=250",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.02,0.05,0.02,0.03,3,0.01,22,125
AT4G12130.1,  Symbols:    Glycine cleavage T-protein family   chr4:7263640-7265425 FORWARD LENGTH=393,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.03,0.05,0.02,0.03,3,0.01,7,134
AT4G39690.1,  Symbols:    FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Mitochondrial inner membrane protein Mitofilin (InterPro:IPR019133); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).   chr4:18417755-18421633 FORWARD LENGTH=650,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.03,0.04,0.04,0.03,3,0.01,57,143
AT3G12650.1,  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; Has 31 Blast hits to 31 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 31; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr3:4017881-4018597 REVERSE LENGTH=238,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.03,0.04,0.04,0.03,3,0.01,8,144
AT5G61220.1,  Symbols:    LYR family of Fe/S cluster biogenesis protein   chr5:24626057-24626320 REVERSE LENGTH=87,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.04,0.04,0.03,0.03,3,0.02,12,145
AT3G45770.1,"  Symbols:    Polyketide synthase, enoylreductase family protein   chr3:16805753-16807774 REVERSE LENGTH=375",mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.02,0.07,0.03,0.04,3,0.02,3,156
AT2G31490.1,  Symbols:    unknown protein; Has 55 Blast hits to 55 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 55; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr2:13412060-13413002 FORWARD LENGTH=71,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.04,0.03,0.05,0.04,3,0.02,6,157
"AT5G15320.1, AT5G15320.2","  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G01130.1); Has 64 Blast hits to 64 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 64; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr5:4977647-4978658 FORWARD LENGTH=53,  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G01130.1); Has 64 Blast hits to 64 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 64; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr5:4977647-4978658 FORWARD LENGTH=50",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.05,0.04,0.03,0.04,3,0.02,6,160
AT1G80720.1,  Symbols:    Mitochondrial glycoprotein family protein   chr1:30336289-30337347 FORWARD LENGTH=190,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.05,0.05,0.03,0.04,3,0.01,3,165
AT1G72170.1,  Symbols:    Domain of unknown function (DUF543)   chr1:27156403-27157516 FORWARD LENGTH=102,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.05,0.04,0.04,0.04,3,0.02,8,167
AT4G20150.1,"  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plasma membrane, mitochondrial respiratory chain complex I, respiratory chain complex I; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).   chr4:10888529-10889500 REVERSE LENGTH=81",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.05,0.04,0.05,0.04,3,0.02,7,171
AT2G42310.1,  Symbols:    unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G57785.1); Has 115 Blast hits to 115 proteins in 48 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 44; Plants - 67; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr2:17625251-17625595 FORWARD LENGTH=114,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.05,0.04,0.04,0.04,3,0.02,6,172
AT4G00585.1,  Symbols:    unknown protein; Has 47 Blast hits to 47 proteins in 22 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 7; Plants - 33; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).   chr4:251157-252284 REVERSE LENGTH=88,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.04,0.05,0.05,0.04,3,0.01,7,175
AT5G43140.1,  Symbols:    Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein   chr5:17321570-17323224 FORWARD LENGTH=254,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.05,0.03,0.05,0.04,3,0.02,3,178
AT2G33255.1,  Symbols:    Haloacid dehalogenase-like hydrolase (HAD) superfamily protein   chr2:14098795-14100358 FORWARD LENGTH=245,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.04,0.06,0.05,0.04,3,0,9,180
"AT4G16450.1, AT4G16450.2","  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photorespiration; LOCATED IN: mitochondrion, mitochondrial membrane, mitochondrial respiratory chain complex I, respiratory chain complex I, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).   chr4:9280132-9280541 FORWARD LENGTH=106,  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photorespiration; LOCATED IN: mitochondrion, mitochondrial membrane, mitochondrial respiratory chain complex I, respiratory chain complex I; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages.   chr4:9280132-9280541 FORWARD LENGTH=106",mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.06,0.04,0.04,0.04,3,0.02,19,182
AT5G09840.1,  Symbols:    Putative endonuclease or glycosyl hydrolase   chr5:3059027-3061970 FORWARD LENGTH=924,mitochondrion,#35.2,not assigned.unknown,Not Assigned,-0.17,0.19,0.13,0.05,3,0.18,6,197
AT1G30680.1,  Symbols:    toprim domain-containing protein   chr1:10881665-10886060 FORWARD LENGTH=709,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.04,0.08,0.03,0.05,3,0.02,9,201
AT1G28510.1,  Symbols:    Optic atrophy 3 protein (OPA3)   chr1:10024036-10025939 FORWARD LENGTH=171,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.05,0.05,0.06,0.05,3,0.01,22,203
AT5G47570.1,  Symbols:    unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).   chr5:19292869-19294666 REVERSE LENGTH=125,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.06,0.04,0.05,0.05,3,0.02,15,209
AT2G40800.1,  Symbols:    unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G56430.1); Has 43 Blast hits to 43 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).   chr2:17024653-17026769 REVERSE LENGTH=377,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.03,0.07,0.07,0.05,3,0.02,7,210
AT5G10730.1,  Symbols:    NAD(P)-binding Rossmann-fold superfamily protein   chr5:3390822-3392947 REVERSE LENGTH=287,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.04,0.06,0.06,0.05,3,0.01,11,212
AT5G02740.1,  Symbols:    Ribosomal protein S24e family protein   chr5:616517-618267 FORWARD LENGTH=228,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.06,0.05,0.06,0.05,3,0.02,6,213
AT3G52570.1,  Symbols:    alpha/beta-Hydrolases superfamily protein   chr3:19501145-19502795 FORWARD LENGTH=335,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.06,0.08,0.04,0.06,3,0.01,15,227
AT3G15090.1,  Symbols:    GroES-like zinc-binding alcohol dehydrogenase family protein   chr3:5076847-5078870 FORWARD LENGTH=366,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.06,0.06,0.06,0.06,3,0.01,26,236
AT1G22520.1,  Symbols:    Domain of unknown function (DUF543)   chr1:7953299-7954304 REVERSE LENGTH=99,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.06,0.06,0.06,0.06,3,0.01,3,237
"AT1G67350.1, AT1G67350.2","  Symbols:    unknown protein; Has 2 Blast hits to 2 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr1:25235826-25236122 FORWARD LENGTH=98,  Symbols:    unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photorespiration; LOCATED IN: mitochondrial membrane, mitochondrial respiratory chain complex I, respiratory chain complex I; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 2 Blast hits to 2 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).   chr1:25235826-25236122 FORWARD LENGTH=98",mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.06,0.06,0.06,0.06,3,0.01,18,240
AT5G15910.1,  Symbols:    NAD(P)-binding Rossmann-fold superfamily protein   chr5:5193207-5195202 FORWARD LENGTH=269,mitochondrion,#35.1,not assigned.no ontology,Not Assigned,0.07,0.06,0.07,0.06,3,0.02,32,251
AT1G04630.1,  Symbols: MEE4   GRIM-19 protein   chr1:1289921-1290986 REVERSE LENGTH=143,mitochondrion,#35.2,not assigned.unknown,Not Assigned,0.07,0.07,0.07,0.07,3,0.01,7,257
