name,ID,clp1p__vs_wtp__p.val,clp1s__vs_wts__p.val,clp2p__vs_wtp__p.val,clp2s__vs_wts__p.val,clp1p__vs_wtp__p.adj,clp1s__vs_wts__p.adj,clp2p__vs_wtp__p.adj,clp2s__vs_wts__p.adj,clp1p__vs_wtp__significant,clp1s__vs_wts__significant,clp2p__vs_wtp__significant,clp2s__vs_wts__significant,significant,clp1p__vs_wtp__ratio,clp1s__vs_wts__ratio,clp2p__vs_wtp__ratio,clp2s__vs_wts__ratio,clp1p__centered,clp1s__centered,clp2p__centered,clp2s__centered,wtp__centered,wts__centered
MPPA2,AT3G16480.1,2.0441436097396857e-6,0.17339789222055074,4.154508031578577e-5,0.5924115796221721,1.1e-7,0.482,7.65e-5,0.916,TRUE,FALSE,TRUE,FALSE,TRUE,0.915,0.193,0.78,0.0745,0.2,0.26,0.0649,0.141,-0.715,0.0662
MPPBETA,AT3G02090.1,0.006226386377456203,0.45472913936059256,0.007211165195461911,0.534655573254754,0.0497,0.736,0.0383,0.911,TRUE,FALSE,TRUE,FALSE,TRUE,0.521,0.129,0.551,0.107,-0.785,0.937,-0.756,0.914,-1.31,0.807
NAD-ME1,AT2G13560.1,0.04110524222252674,0.004228540737675029,0.03314379641973761,0.0037388595735732824,0.196,0.0129,0.121,0.223,FALSE,TRUE,FALSE,FALSE,TRUE,-0.242,-0.359,-0.274,-0.365,0.279,-0.446,0.247,-0.452,0.521,-0.087
NAD(P)-binding Rossmann-fold superfamily protein.2,AT4G20760.1,0.591275581613419,0.25238023425112377,0.004235481458909668,0.3538141448496769,0.716,0.59,0.0254,0.885,FALSE,FALSE,TRUE,FALSE,TRUE,-0.105,-0.227,-0.675,-0.183,-0.192,0.193,-0.761,0.237,-0.0865,0.42
NDB2,AT4G05020.1,0.5135826838485462,0.3859568650811296,0.0016623615790766872,0.08330914235587593,0.689,0.7,0.0107,0.741,FALSE,FALSE,TRUE,FALSE,TRUE,-0.16,-0.214,-0.951,-0.44,-1.87,1.87,-2.66,1.64,-1.71,2.08
NDPK3,AT4G11010.1,7.617474410731321e-4,0.7243837806390998,3.5415968185851783e-4,0.989749603320852,0.00508,0.822,0.00183,0.94,TRUE,FALSE,TRUE,FALSE,TRUE,-0.709,-0.0635,-0.83,-0.00231,-1.53,1.15,-1.65,1.21,-0.819,1.22
NFD3,AT1G31817.1,7.90352461957892e-4,0.050136398672861085,0.009003621728013438,0.07364375088722921,0.00533,0.174,0.0451,0.724,TRUE,FALSE,TRUE,FALSE,TRUE,1.15,0.607,0.911,0.549,0.149,0.531,-0.0947,0.473,-1.01,-0.0762
NFD5,AT1G19520.1,1.0788760546387614e-4,0.0010850098385223072,0.003268716918618541,2.640288444000186e-4,2.78e-4,0.00197,0.0202,0.0411,TRUE,TRUE,TRUE,TRUE,TRUE,0.782,0.62,0.585,0.719,0.0169,0.468,-0.181,0.567,-0.766,-0.151
ORF25,ATMG00640.1,0.023770981167751507,0.6207648236323626,0.0028595462472414367,0.09868223795937879,0.138,0.797,0.0181,0.763,FALSE,FALSE,TRUE,FALSE,TRUE,-0.756,-0.155,-1.14,-0.534,-2.84,2.52,-3.22,2.14,-2.08,2.68
"Pentatricopeptide repeat-containing protein At1g26460, mitochondrial",AT1G26460.1,0.0013754887323933266,0.2410748742705772,6.34057668552346e-4,0.04966393790338046,0.011,0.578,0.00371,0.664,TRUE,FALSE,TRUE,FALSE,TRUE,0.492,0.159,0.58,0.276,0.0389,0.121,0.126,0.237,-0.453,-0.0385
"Pentatricopeptide repeat-containing protein At1g55890, mitochondrial",AT1G55890.1,0.03115936132040198,0.00673103824424036,0.14396402642646555,0.04017024406277875,0.166,0.0241,0.283,0.629,FALSE,TRUE,FALSE,FALSE,TRUE,1.21,1.58,0.857,1.15,0.318,0.873,-0.0357,0.437,-0.893,-0.709
Pentatricopeptide repeat-containing protein At1g60770,AT1G60770.1,0.46114417928173823,0.011968883331376565,0.8635483165230607,0.045888044631122,0.668,0.0465,0.641,0.651,FALSE,TRUE,FALSE,FALSE,TRUE,-0.299,1.1,-0.0747,0.848,-0.762,0.996,-0.538,0.741,-0.464,-0.107
"Pentatricopeptide repeat-containing protein At3g02650, mitochondrial",AT3G02650.1,1.539883674264099e-5,5.4224429280172425e-5,5.173504989549872e-4,3.0398916686447954e-5,1.06e-5,5.93e-6,0.00294,0.0041,TRUE,TRUE,TRUE,TRUE,TRUE,0.87,0.783,0.683,0.823,0.0861,0.506,-0.101,0.545,-0.784,-0.277
"Pentatricopeptide repeat-containing protein At4g35850, mitochondrial",AT4G35850.1,0.015327925265166171,0.029052250063723313,0.003213951864019585,0.17411628530061163,0.0974,0.11,0.0199,0.827,FALSE,FALSE,TRUE,FALSE,TRUE,0.421,0.373,0.575,0.223,0.0751,0.207,0.229,0.0575,-0.346,-0.166
"Pentatricopeptide repeat-containing protein At4g36680, mitochondrial",AT4G36680.1,0.0195878909945789,4.362741877593177e-4,0.9844311438718143,0.0013469274202450952,0.119,3.99e-4,0.667,0.138,FALSE,TRUE,FALSE,FALSE,TRUE,0.354,0.589,-0.00297,0.52,-0.305,0.706,-0.662,0.638,-0.659,0.117
Peptidase S24/S26A/S26B/S26C family protein.1,AT2G31140.1,0.14215176167894777,0.221394499885154,0.004244080624159956,0.5939709479465413,0.403,0.553,0.0254,0.916,FALSE,FALSE,TRUE,FALSE,TRUE,-0.329,-0.272,-0.753,-0.117,-1.31,1.06,-1.74,1.21,-0.983,1.33
PEX11E,AT3G61070.3,0.6933409347937904,0.3579665428624631,3.0002518404813046e-4,0.15416107678737861,0.744,0.682,0.00146,0.815,FALSE,FALSE,TRUE,FALSE,TRUE,-0.0683,0.161,-0.811,0.253,-2.1,2.11,-2.85,2.21,-2.04,1.95
PGIV.1,AT5G18800.2,0.004138271552806732,0.8937219764925327,0.002928212073576896,0.7730151914059228,0.0361,0.852,0.0184,0.93,TRUE,FALSE,TRUE,FALSE,TRUE,-0.873,-0.0363,-0.987,-0.0785,-2.14,1.7,-2.25,1.66,-1.26,1.73
PHB2,AT1G03860.3,0.0817664657281146,0.9642892728023997,0.004644193901187474,0.8659114955204765,0.294,0.862,0.0274,0.935,FALSE,FALSE,TRUE,FALSE,TRUE,-1.19,0.0294,-2.24,0.111,-3.28,2.86,-4.33,2.94,-2.09,2.83
PMD2,AT1G06530.1,0.006521096180382697,0.5971780629503968,0.0014357498702848913,0.8433742657164874,0.0513,0.79,0.00923,0.933,FALSE,FALSE,TRUE,FALSE,TRUE,-1.36,-0.24,-1.79,-0.0894,-3.07,2.34,-3.51,2.49,-1.71,2.58
PNM1,AT5G60960.1,2.436825940825731e-4,1.3658662214090094e-5,0.0018561433929679776,2.164409992485635e-6,0.00103,1.52e-7,0.0119,9.89e-5,TRUE,TRUE,TRUE,TRUE,TRUE,1.28,1.65,1.11,1.89,-0.124,1.05,-0.293,1.3,-1.4,-0.598
POP2,AT3G22200.2,0.004805301744137348,0.02735078579846328,5.160910995409257e-4,0.008948272468324888,0.0409,0.105,0.00294,0.344,TRUE,FALSE,TRUE,FALSE,TRUE,-0.462,-0.346,-0.652,-0.421,0.432,-0.592,0.242,-0.668,0.893,-0.246
PPR336,AT1G61870.1,2.838715862537873e-5,0.2703851559277606,7.335700922834682e-5,0.9337402772626751,3.52e-5,0.609,1.85e-4,0.938,TRUE,FALSE,TRUE,FALSE,TRUE,1.28,0.266,1.27,0.0198,0.107,0.501,0.101,0.254,-1.17,0.234
PPR596,AT1G80270.5,0.009135250732181884,0.02960917278603261,0.00519473174192569,0.022926769208533235,0.0649,0.111,0.0298,0.526,FALSE,FALSE,TRUE,FALSE,TRUE,1.22,0.991,1.44,1.04,0.0373,0.633,0.251,0.684,-1.18,-0.358
PREP1,AT3G19170.1,4.24705136955292e-5,6.90741415482373e-7,5.17101064778509e-5,2.720012770816532e-6,7.05e-5,1.06e-11,1.06e-4,1.32e-4,TRUE,TRUE,TRUE,TRUE,TRUE,0.799,1.1,0.849,0.993,1.05,-0.306,1.1,-0.409,0.248,-1.4
Probable mitochondrial-processing peptidase subunit alpha-1,AT1G51980.1,0.00588801551846613,0.5282534148531876,0.0019125366109337776,0.3583772995236829,0.0478,0.767,0.0123,0.886,TRUE,FALSE,TRUE,FALSE,TRUE,0.717,0.149,0.899,0.218,-0.914,1.06,-0.733,1.13,-1.63,0.91
PSAA,ATCG00350.1,0.12709450703151662,0.9501229244740521,0.008076330349487779,0.3860441648773748,0.378,0.86,0.0417,0.891,FALSE,FALSE,TRUE,FALSE,TRUE,-0.45,0.0179,-0.9,-0.25,-1.44,1.38,-1.89,1.11,-0.995,1.36
PSAD1,AT4G02770.1,0.9678104130360283,0.009215740764568141,0.26906984000943496,0.10975256723381117,0.797,0.0349,0.385,0.777,FALSE,TRUE,FALSE,FALSE,TRUE,-0.0152,1.08,0.457,0.623,-1.43,1.7,-0.959,1.25,-1.42,0.622
PSAD2,AT4G02770.1,0.2247297752440416,0.011074519031456925,0.15824599244971096,0.08658356113418506,0.51,0.0424,0.296,0.746,FALSE,TRUE,FALSE,FALSE,TRUE,-0.565,1.27,-0.714,0.813,-1.32,1.63,-1.47,1.18,-0.757,0.368
PYRD,AT5G23300.1,0.21301493808233984,0.7894346270163711,7.44956311113704e-4,0.6140879510152968,0.498,0.835,0.00438,0.918,FALSE,FALSE,TRUE,FALSE,TRUE,-0.338,-0.0711,-1.13,0.135,-2.18,2,-2.98,2.2,-1.85,2.07
Ras-related small GTP-binding family protein,AT5G59840.1,0.08507540454165183,0.0021144097553699613,0.008414297692690975,0.10505392804802627,0.302,0.0053,0.043,0.771,FALSE,TRUE,TRUE,FALSE,TRUE,-0.52,-1.02,-0.909,-0.488,-0.126,-0.476,-0.514,0.0531,0.394,0.541
RBCL,ATCG00490.1,0.010138718731909413,0.8428616810364233,0.0016078719936790246,0.10770139941387154,0.0694,0.844,0.0103,0.774,FALSE,FALSE,TRUE,FALSE,TRUE,-0.503,0.0354,-0.699,-0.298,0.533,-0.484,0.337,-0.817,1.04,-0.52
RBCS-2B,AT5G38410.1,0.005191234934714764,0.917437574915877,0.14457673610643768,0.8640260411779743,0.0435,0.856,0.283,0.935,TRUE,FALSE,FALSE,FALSE,TRUE,-2.81,0.0935,-1.46,0.154,0.2,-1.44,1.54,-1.38,3.01,-1.54
RBCS-3B,AT5G38410.1,0.005442133794994406,0.9353175447945669,0.11102462814204431,0.9461659239666402,0.0451,0.858,0.246,0.938,TRUE,FALSE,FALSE,FALSE,TRUE,-2.76,-0.0725,-1.59,0.0603,0.18,-1.45,1.35,-1.31,2.94,-1.37
RBG3,AT5G61030.2,0.36761662689840136,1.7494726458478822e-4,0.6041020424077399,0.0016223025571933097,0.621,7.13e-5,0.564,0.153,FALSE,TRUE,FALSE,FALSE,TRUE,0.408,2.05,0.252,1.62,0.547,0.501,0.391,0.0709,0.139,-1.55
RFNR2,AT1G30510.3,0.6916547641520123,0.0028826056762784893,0.06395002991885844,0.012629869936709654,0.744,0.0078,0.178,0.41,FALSE,TRUE,FALSE,FALSE,TRUE,-0.108,0.912,-0.568,0.735,0.899,-0.382,0.439,-0.559,1.01,-1.29
RH39,AT4G09730.1,0.0311934196176567,1.0756218288175694e-6,0.01640291377422386,1.4852985026232418e-6,0.166,4.26e-11,0.0702,5.88e-5,FALSE,TRUE,FALSE,TRUE,TRUE,0.624,1.88,0.763,1.84,-0.401,1.18,-0.262,1.14,-1.03,-0.698
RH53,AT3G22330.1,3.523299497849673e-4,1.1261401020742295e-4,0.00161364848519461,1.400084773393841e-4,0.00175,3.04e-5,0.0104,0.0227,TRUE,TRUE,TRUE,TRUE,TRUE,1.58,1.77,1.45,1.73,-0.0605,1.22,-0.196,1.18,-1.65,-0.55
RH9,AT3G22310.1,1.2392027748305315e-6,5.765551062570042e-9,3.909060807770999e-5,4.571551513846939e-9,3.49e-8,5.11e-14,6.94e-5,7.65e-11,TRUE,TRUE,TRUE,TRUE,TRUE,2.34,3.33,1.93,3.38,0.307,1.69,-0.0984,1.74,-2.03,-1.64
Ribosomal protein L18e/L15 superfamily protein,AT5G64670.1,0.2843653096551889,4.3175071295866753e-4,0.02977321147802695,2.763190920347706e-4,0.564,3.92e-4,0.112,0.0427,FALSE,TRUE,FALSE,TRUE,TRUE,0.425,1.64,0.979,1.71,-0.384,0.876,0.169,0.952,-0.809,-0.761
Ribosomal protein L1p/L10e family,AT2G42710.1,0.09942320038165227,0.1846442841371551,0.009801073697392047,0.16487061460069632,0.33,0.501,0.0477,0.821,FALSE,FALSE,TRUE,FALSE,TRUE,0.662,0.526,1.18,0.552,-0.587,0.795,-0.0647,0.821,-1.25,0.268
Ribosomal protein L22p/L17e family protein.1,AT4G28360.1,0.1272106707136826,0.007325881858819713,0.6987529568461847,0.05513839305865649,0.378,0.0267,0.596,0.681,FALSE,TRUE,FALSE,FALSE,TRUE,0.448,0.843,0.119,0.574,-0.199,0.785,-0.528,0.516,-0.647,-0.0586
Ribosomal protein L23/L15e family protein,AT4G39880.1,0.07773143602268533,0.12739979120367778,0.006087882444265398,0.3604242401695621,0.286,0.392,0.0334,0.887,FALSE,FALSE,TRUE,FALSE,TRUE,-0.454,0.388,-0.81,0.228,-0.867,0.915,-1.22,0.756,-0.414,0.528
"Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain",AT4G23620.1,0.24637649540281983,0.9711550510840893,0.0037431348089838577,0.4714051213074969,0.532,0.863,0.0228,0.904,FALSE,FALSE,TRUE,FALSE,TRUE,0.602,0.0185,1.79,-0.37,-0.536,0.53,0.656,0.142,-1.14,0.512
"Ribosomal protein L7/L12, oligomerisation",AT1G70190.2,0.01014021191545867,0.009700428265069116,0.013137254628410469,0.0016572674175068533,0.0694,0.0369,0.0584,0.155,FALSE,TRUE,FALSE,FALSE,TRUE,0.708,0.713,0.733,0.908,-0.294,0.672,-0.269,0.867,-1,-0.0414
Ribosomal protein L9/RNase H1,AT5G53070.1,0.019577846098061496,0.03143634601652118,2.832313854510042e-4,0.02602810330898591,0.119,0.116,0.00137,0.55,FALSE,FALSE,TRUE,FALSE,TRUE,-0.68,0.619,-1.28,0.644,-0.504,0.583,-1.1,0.607,0.176,-0.0365
"Ribosomal protein S24/S35, mitochondrial",AT3G18240.2,0.00625271223076424,0.07930363066689718,0.2706898492406567,0.1863971005749074,0.0498,0.264,0.386,0.833,TRUE,FALSE,FALSE,FALSE,TRUE,1.22,0.734,0.485,0.543,0.179,0.732,-0.552,0.541,-1.04,-0.00149
Ribosomal protein S24e family protein,AT5G02740.1,0.007076965699556455,0.32204427899384336,0.00438094943199856,0.08195928671070835,0.0541,0.655,0.0261,0.739,FALSE,FALSE,TRUE,FALSE,TRUE,1.8,-0.607,2.08,1.1,0.882,-1.05,1.16,0.655,-0.919,-0.442
Ribosomal protein S5 family protein,AT1G64880.1,4.703611457826827e-5,2.2113216569658107e-4,6.912390172715662e-4,2.7584221692517055e-5,8.26e-5,1.03e-4,0.00407,0.00371,TRUE,TRUE,TRUE,TRUE,TRUE,1.16,1.01,0.97,1.22,0.307,0.422,0.115,0.628,-0.855,-0.587
RNA-binding (RRM/RBD/RNP motifs) family protein,AT5G54580.1,0.7245079286562046,0.0028380594255152146,0.05187787665635396,0.0030074507885299072,0.752,0.00766,0.16,0.204,FALSE,TRUE,FALSE,FALSE,TRUE,-0.131,1.25,-0.82,1.24,-0.725,1.21,-1.41,1.2,-0.594,-0.0382
RPL17B,AT1G67430.1,0.39617974622587404,0.5939706449317768,0.005756673297108171,0.9110944927049216,0.637,0.789,0.0321,0.937,FALSE,FALSE,TRUE,FALSE,TRUE,-0.238,0.148,-0.919,0.031,-0.924,1.03,-1.6,0.909,-0.686,0.878
RPL21M,AT4G30930.1,0.00553780165800307,0.009803424703839554,0.009698912532727614,0.0047442811260079275,0.0457,0.0373,0.0474,0.243,TRUE,TRUE,TRUE,FALSE,TRUE,1.44,1.32,1.43,1.47,0.143,0.743,0.133,0.894,-1.3,-0.581
RPS14B,AT3G11510.1,0.2608640729542512,0.3193811878837104,0.0025240477196992145,0.8525851576766806,0.545,0.653,0.0161,0.934,FALSE,FALSE,TRUE,FALSE,TRUE,0.259,0.229,-0.839,-0.0421,-1.46,1.87,-2.56,1.6,-1.72,1.64
SAT3,AT3G13110.1,0.02791985206490619,0.0028293572795031305,0.04459830695414343,0.1752702375531706,0.154,0.00763,0.146,0.828,FALSE,TRUE,FALSE,FALSE,TRUE,0.764,1.1,0.746,0.452,0.626,0.267,0.608,-0.379,-0.138,-0.832
SDH2-1,AT3G27380.2,0.9447988360142092,0.47699963859729144,0.001188125020895215,0.19205248968827016,0.794,0.746,0.00759,0.836,FALSE,FALSE,TRUE,FALSE,TRUE,-0.0146,-0.151,-0.853,-0.281,-2.69,2.66,-3.53,2.53,-2.67,2.81
SHD,AT4G24190.2,0.6674236822237936,0.4539273093044621,0.005284625301043627,0.924825078337769,0.738,0.736,0.0302,0.937,FALSE,FALSE,TRUE,FALSE,TRUE,-0.153,-0.268,-1.19,-0.0336,-0.52,0.518,-1.56,0.752,-0.367,0.786
T15N1_80,AT5G14590.1,0.4831332492092998,0.008920491515150047,0.3083436349739448,0.031858279315006455,0.678,0.0337,0.414,0.587,FALSE,TRUE,FALSE,FALSE,TRUE,-0.167,-0.679,-0.264,-0.541,0.749,-0.991,0.652,-0.852,0.916,-0.312
Tetratricopeptide repeat (TPR)-like superfamily protein,AT2G31240.1,0.0020955124996744528,0.4396259379002566,0.010396613722494941,0.869150919829698,0.018,0.729,0.0496,0.935,TRUE,FALSE,TRUE,FALSE,TRUE,0.881,-0.196,0.761,0.0414,0.909,-0.654,0.789,-0.417,0.0279,-0.458
TIC110,AT1G06950.1,0.6009629351277861,0.19199305584343151,8.484331686227664e-4,0.08783605213988903,0.719,0.512,0.00514,0.748,FALSE,FALSE,TRUE,FALSE,TRUE,-0.116,-0.294,-0.928,-0.392,-0.189,0.272,-1,0.175,-0.0734,0.567
TIM13,AT1G61570.1,5.059113577499682e-4,0.8671037941394096,2.2579085420323247e-4,0.9858135521912412,0.0029,0.848,0.00103,0.94,TRUE,FALSE,TRUE,FALSE,TRUE,-0.6,0.0244,-0.703,-0.00259,-0.636,0.425,-0.739,0.398,-0.0353,0.401
TIM8,AT5G50810.1,0.13300996787740613,0.9073529753905645,0.0037991734380699075,0.856192088894363,0.388,0.854,0.0231,0.934,FALSE,FALSE,TRUE,FALSE,TRUE,-0.608,-0.0457,-1.38,-0.0712,-0.565,0.501,-1.33,0.475,0.0435,0.546
TKL-2,AT2G45290.2,0.011947843612997533,0.04157560122750027,0.0020223113465124617,0.029683015341708623,0.0789,0.147,0.013,0.575,FALSE,FALSE,TRUE,FALSE,TRUE,-0.924,-0.727,-1.28,-0.782,-0.182,-0.275,-0.541,-0.33,0.742,0.451
TOM9-2,AT5G43970.1,0.0127512581244985,0.7604458142361408,0.0060931492385283776,0.7060385924510508,0.083,0.829,0.0334,0.925,FALSE,FALSE,TRUE,FALSE,TRUE,-1.06,-0.119,-1.28,0.148,-2.64,1.99,-2.86,2.26,-1.58,2.11
translation initiation factor 3 (IF-3) family protein,AT1G34360.2,3.1051931841946357e-005,0.0025415410912299663,0.012881886560599671,0.0038889277822528046,4.12e-5,0.00672,0.0576,0.226,TRUE,TRUE,FALSE,FALSE,TRUE,1.51,0.968,0.827,0.916,0.0359,0.981,-0.647,0.929,-1.47,0.013
Ubiquinol-cytochrome C reductase hinge protein,AT1G15120.1,6.014171210192784e-5,0.4408691326703127,0.005041997081755166,0.4672655264036506,1.18e-4,0.73,0.0292,0.903,TRUE,FALSE,TRUE,FALSE,TRUE,-1.63,-0.25,-1.09,-0.236,-2.86,1.85,-2.32,1.87,-1.23,2.1
Uncharacterised conserved protein UCP022280,AT2G45060.1,0.12560631358914565,0.6768680598118939,0.0056840853417260495,0.7889895346628147,0.376,0.811,0.0318,0.93,FALSE,FALSE,TRUE,FALSE,TRUE,-0.527,-0.139,-1.11,-0.0894,-2.16,1.89,-2.74,1.94,-1.64,2.03
VDAC1,AT3G01280.1,0.005943216305246906,0.8170954254926663,0.02797542574079176,0.32716032895612757,0.0481,0.84,0.107,0.88,TRUE,FALSE,FALSE,FALSE,TRUE,-1.91,-0.145,-1.59,-0.622,-4.03,3.09,-3.71,2.61,-2.12,3.24
VDAC2,AT5G67500.3,0.0030166326840334375,0.8792802663246423,0.0017948787393532472,0.7503372532914686,0.0268,0.85,0.0115,0.928,TRUE,FALSE,TRUE,FALSE,TRUE,-2.58,-0.117,-2.97,-0.245,-4.38,3.26,-4.77,3.13,-1.8,3.37
VDAC3,AT5G15090.2,0.024569183403186725,0.9818024772870932,0.003066959991735732,0.788638995826971,0.141,0.864,0.0192,0.93,FALSE,FALSE,TRUE,FALSE,TRUE,-1.84,0.0175,-2.76,-0.206,-3.4,2.81,-4.32,2.59,-1.56,2.79
 ABC transporter A family protein ,AT5G53650.1,0.8841007664785927,0.45434745711303415,0.5919673568959847,0.32108862166646585,0.784,0.736,0.56,0.878,FALSE,FALSE,FALSE,FALSE,FALSE,-0.124,-0.64,0.493,0.853,-1.29,0.275,-0.672,1.77,-1.17,0.915
 centrosomal protein ,AT1G79390.1,0.2048653400748785,0.6987887836631633,0.6188434797202447,0.48626003395939943,0.489,0.816,0.569,0.905,FALSE,FALSE,FALSE,FALSE,FALSE,0.612,-0.183,-0.255,0.331,0.196,0.0089,-0.671,0.523,-0.416,0.192
 coiled-coil 90B-like protein (DUF1640) ,AT2G16460.1,0.21051568402058068,0.3254646653042935,0.9816154230821073,0.972259762762318,0.495,0.658,0.667,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,0.502,0.391,0.00977,-0.0136,-0.398,0.92,-0.89,0.516,-0.9,0.529
 COMPLEX 1 LYR-like protein ,AT3G17300.3,0.034113708086363964,0.7771889593384259,0.06105190526691335,0.9750318953374012,0.175,0.833,0.174,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,1.04,0.131,0.98,-0.0145,0.817,-0.295,0.757,-0.441,-0.223,-0.426
 cytochrome C oxidase subunit ,AT3G62400.1,0.8368217287411092,0.6588229812234516,0.6977427143918102,0.09783729942197048,0.775,0.807,0.596,0.762,FALSE,FALSE,FALSE,FALSE,FALSE,-0.139,0.298,0.283,1.16,-1.7,1.22,-1.28,2.08,-1.56,0.921
 FAM136A-like protein (DUF842) ,AT2G31725.1,0.4692996552347263,0.8269295839632916,0.695265736289519,0.9620344817092746,0.672,0.842,0.595,0.939,FALSE,FALSE,FALSE,FALSE,FALSE,-0.297,-0.0891,-0.173,-0.0194,-0.717,0.474,-0.593,0.544,-0.42,0.563
 fanconi anemia group D2 protein ,AT3G07568.1,0.5397510161966189,0.10150662897215239,0.5422736099561621,0.3731339593789088,0.699,0.328,0.54,0.889,FALSE,FALSE,FALSE,FALSE,FALSE,0.29,-0.8,-0.312,0.424,-0.387,-0.0724,-0.989,1.15,-0.678,0.728
 hypothetical protein .15,AT5G24165.2,0.6376536751179713,0.18548685139008889,0.1816450810296743,0.47906194589744544,0.73,0.502,0.316,0.905,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0664,-0.191,-0.208,-0.1,-0.338,0.229,-0.479,0.32,-0.272,0.42
 hypothetical protein .2,AT1G20430.1,0.07158029419405076,0.20574247749814767,0.02484068925558034,0.2326384163689017,0.273,0.532,0.0981,0.853,FALSE,FALSE,FALSE,FALSE,FALSE,-0.829,0.57,-1.14,0.536,-1.08,0.997,-1.4,0.963,-0.254,0.427
 hypothetical protein .4,AT1G27435.1,0.03963818973600906,0.8484624179077628,0.09345595187608244,0.2137702086808764,0.192,0.845,0.222,0.846,FALSE,FALSE,FALSE,FALSE,FALSE,-0.806,-0.0707,-0.696,-0.47,-0.491,0.263,-0.381,-0.136,0.315,0.334
 hypothetical protein .6,AT1G71730.1,0.5746082056237456,0.21011378188709012,0.45123825338012447,0.20558755953950397,0.711,0.538,0.499,0.842,FALSE,FALSE,FALSE,FALSE,FALSE,0.332,0.754,0.483,0.761,0.571,-0.202,0.722,-0.194,0.24,-0.956
 import inner membrane translocase subunit ,AT3G56430.1,0.9876656853448342,0.8500069372583529,0.859735691962394,0.005168556883078053,0.8,0.846,0.64,0.25,FALSE,FALSE,FALSE,FALSE,FALSE,0.00775,0.0948,0.0957,-1.56,-0.356,0.89,-0.268,-0.766,-0.363,0.795
 import inner membrane translocase subunit .1,AT3G56430.1,0.49905485323196386,0.6776700187726709,0.14245823613059921,0.0026939528762021524,0.684,0.811,0.281,0.195,FALSE,FALSE,FALSE,FALSE,FALSE,-0.341,-0.209,-0.816,-1.7,-0.524,0.914,-1,-0.579,-0.184,1.12
 K+-H+ exchange-like protein ,AT1G53760.1,0.07792663793983783,0.971972365334524,0.18407070038252088,0.17963365051014002,0.286,0.863,0.318,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,-0.777,0.0149,-0.621,-0.581,-1.22,1.02,-1.06,0.425,-0.44,1.01
 Low-density receptor-like protein ,AT5G16660.2,0.9468253871490544,0.22572557727752948,0.8766656822580511,0.4672308385019026,0.794,0.559,0.644,0.903,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0339,0.627,0.0851,0.372,-0.478,0.691,-0.359,0.436,-0.444,0.0642
 Mal d 1-associated protein ,AT2G35900.1,0.29265001910047866,0.7755721789425776,0.7838514919167776,0.028372898957326597,0.571,0.832,0.62,0.566,FALSE,FALSE,FALSE,FALSE,FALSE,-0.373,-0.0995,-0.103,-0.816,-0.385,0.367,-0.116,-0.35,-0.0123,0.467
 marker for oxidative stress response protein ,AT2G21640.1,0.4198939392954002,0.7641678138631848,0.7487866984867764,0.5119928148270165,0.649,0.83,0.611,0.908,FALSE,FALSE,FALSE,FALSE,FALSE,0.449,-0.166,0.191,0.364,-0.722,0.644,-0.98,1.17,-1.17,0.81
 MICOS complex subunit ,AT4G39690.1,0.8497421965312989,0.6128983496081235,0.04243909130425595,0.9869216444459563,0.778,0.794,0.142,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0641,-0.172,-0.783,0.00554,-2.57,2.4,-3.29,2.58,-2.51,2.57
 NADH dehydrogenase ubiquinone complex I%2C assembly factor-like protein (DUF185) .1,AT3G28700.2,0.3143674271515381,0.2750959181532896,0.42082756888072015,0.8573798360832613,0.587,0.614,0.484,0.934,FALSE,FALSE,FALSE,FALSE,FALSE,0.556,-0.604,-0.478,-0.0979,0.631,-0.505,-0.402,0.0011,0.0755,0.099
 selenoprotein O ,AT5G13030.1,0.23191828713580045,0.05405774237487905,0.31476964878142394,0.1722623587568359,0.518,0.186,0.419,0.826,FALSE,FALSE,FALSE,FALSE,FALSE,0.266,0.442,0.24,0.306,0.574,-0.238,0.548,-0.375,0.308,-0.68
 subtilisin-like protease ,AT2G33585.1,0.41544354636758196,0.8577011550152716,0.4875708550043484,0.5496051404196725,0.647,0.847,0.517,0.912,FALSE,FALSE,FALSE,FALSE,FALSE,0.316,0.069,-0.29,-0.231,-1.62,1.86,-2.22,1.56,-1.93,1.79
 succinate dehydrogenase assembly factor ,AT5G67490.1,0.5275282800111943,0.3137351850742119,0.8473729854329414,0.9111414689963915,0.695,0.649,0.637,0.937,FALSE,FALSE,FALSE,FALSE,FALSE,0.575,0.924,0.188,0.101,1.27,-0.294,0.883,-1.12,0.695,-1.22
 translocator assembly/maintenance protein ,AT3G47630.4,0.3237069224253254,0.4513197634017897,0.23941650740198817,0.9312663061361454,0.593,0.735,0.36,0.938,FALSE,FALSE,FALSE,FALSE,FALSE,-0.544,0.413,-0.705,0.047,-0.641,0.706,-0.801,0.34,-0.0965,0.293
