Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides blank	Peptides clp1p_1	Peptides clp1p_2	Peptides clp1p_3	Peptides clp1p_4	Peptides clp1s_1	Peptides clp1s_2	Peptides clp1s_3	Peptides clp1s_4	Peptides clp2p_1	Peptides clp2p_2	Peptides clp2p_3	Peptides clp2p_4	Peptides clp2s_1	Peptides clp2s_2	Peptides clp2s_3	Peptides clp2s_4	Peptides pool_p	Peptides pool_s	Peptides wtp_1	Peptides wtp_2	Peptides wtp_3	Peptides wtp_4	Peptides wts_1	Peptides wts_2	Peptides wts_3	Peptides wts_4	Razor + unique peptides blank	Razor + unique peptides clp1p_1	Razor + unique peptides clp1p_2	Razor + unique peptides clp1p_3	Razor + unique peptides clp1p_4	Razor + unique peptides clp1s_1	Razor + unique peptides clp1s_2	Razor + unique peptides clp1s_3	Razor + unique peptides clp1s_4	Razor + unique peptides clp2p_1	Razor + unique peptides clp2p_2	Razor + unique peptides clp2p_3	Razor + unique peptides clp2p_4	Razor + unique peptides clp2s_1	Razor + unique peptides clp2s_2	Razor + unique peptides clp2s_3	Razor + unique peptides clp2s_4	Razor + unique peptides pool_p	Razor + unique peptides pool_s	Razor + unique peptides wtp_1	Razor + unique peptides wtp_2	Razor + unique peptides wtp_3	Razor + unique peptides wtp_4	Razor + unique peptides wts_1	Razor + unique peptides wts_2	Razor + unique peptides wts_3	Razor + unique peptides wts_4	Unique peptides blank	Unique peptides clp1p_1	Unique peptides clp1p_2	Unique peptides clp1p_3	Unique peptides clp1p_4	Unique peptides clp1s_1	Unique peptides clp1s_2	Unique peptides clp1s_3	Unique peptides clp1s_4	Unique peptides clp2p_1	Unique peptides clp2p_2	Unique peptides clp2p_3	Unique peptides clp2p_4	Unique peptides clp2s_1	Unique peptides clp2s_2	Unique peptides clp2s_3	Unique peptides clp2s_4	Unique peptides pool_p	Unique peptides pool_s	Unique peptides wtp_1	Unique peptides wtp_2	Unique peptides wtp_3	Unique peptides wtp_4	Unique peptides wts_1	Unique peptides wts_2	Unique peptides wts_3	Unique peptides wts_4	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Sequence coverage blank [%]	Sequence coverage clp1p_1 [%]	Sequence coverage clp1p_2 [%]	Sequence coverage clp1p_3 [%]	Sequence coverage clp1p_4 [%]	Sequence coverage clp1s_1 [%]	Sequence coverage clp1s_2 [%]	Sequence coverage clp1s_3 [%]	Sequence coverage clp1s_4 [%]	Sequence coverage clp2p_1 [%]	Sequence coverage clp2p_2 [%]	Sequence coverage clp2p_3 [%]	Sequence coverage clp2p_4 [%]	Sequence coverage clp2s_1 [%]	Sequence coverage clp2s_2 [%]	Sequence coverage clp2s_3 [%]	Sequence coverage clp2s_4 [%]	Sequence coverage pool_p [%]	Sequence coverage pool_s [%]	Sequence coverage wtp_1 [%]	Sequence coverage wtp_2 [%]	Sequence coverage wtp_3 [%]	Sequence coverage wtp_4 [%]	Sequence coverage wts_1 [%]	Sequence coverage wts_2 [%]	Sequence coverage wts_3 [%]	Sequence coverage wts_4 [%]	Intensity	Intensity blank	Intensity clp1p_1	Intensity clp1p_2	Intensity clp1p_3	Intensity clp1p_4	Intensity clp1s_1	Intensity clp1s_2	Intensity clp1s_3	Intensity clp1s_4	Intensity clp2p_1	Intensity clp2p_2	Intensity clp2p_3	Intensity clp2p_4	Intensity clp2s_1	Intensity clp2s_2	Intensity clp2s_3	Intensity clp2s_4	Intensity pool_p	Intensity pool_s	Intensity wtp_1	Intensity wtp_2	Intensity wtp_3	Intensity wtp_4	Intensity wts_1	Intensity wts_2	Intensity wts_3	Intensity wts_4	LFQ intensity blank	LFQ intensity clp1p_1	LFQ intensity clp1p_2	LFQ intensity clp1p_3	LFQ intensity clp1p_4	LFQ intensity clp1s_1	LFQ intensity clp1s_2	LFQ intensity clp1s_3	LFQ intensity clp1s_4	LFQ intensity clp2p_1	LFQ intensity clp2p_2	LFQ intensity clp2p_3	LFQ intensity clp2p_4	LFQ intensity clp2s_1	LFQ intensity clp2s_2	LFQ intensity clp2s_3	LFQ intensity clp2s_4	LFQ intensity pool_p	LFQ intensity pool_s	LFQ intensity wtp_1	LFQ intensity wtp_2	LFQ intensity wtp_3	LFQ intensity wtp_4	LFQ intensity wts_1	LFQ intensity wts_2	LFQ intensity wts_3	LFQ intensity wts_4	MS/MS count blank	MS/MS count clp1p_1	MS/MS count clp1p_2	MS/MS count clp1p_3	MS/MS count clp1p_4	MS/MS count clp1s_1	MS/MS count clp1s_2	MS/MS count clp1s_3	MS/MS count clp1s_4	MS/MS count clp2p_1	MS/MS count clp2p_2	MS/MS count clp2p_3	MS/MS count clp2p_4	MS/MS count clp2s_1	MS/MS count clp2s_2	MS/MS count clp2s_3	MS/MS count clp2s_4	MS/MS count pool_p	MS/MS count pool_s	MS/MS count wtp_1	MS/MS count wtp_2	MS/MS count wtp_3	MS/MS count wtp_4	MS/MS count wts_1	MS/MS count wts_2	MS/MS count wts_3	MS/MS count wts_4	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
AT3G17810.1	AT3G17810.1	8	8	8	AT3G17810.1 | pyrimidine 1 | Chr3:6094279-6096289 FORWARD LENGTH=426 | 201606	1	8	8	8	0	2	3	3	4	0	0	0	0	2	1	2	0	0	0	0	0	0	2	3	4	3	5	0	0	0	0	0	2	3	3	4	0	0	0	0	2	1	2	0	0	0	0	0	0	2	3	4	3	5	0	0	0	0	0	2	3	3	4	0	0	0	0	2	1	2	0	0	0	0	0	0	2	3	4	3	5	0	0	0	0	20.9	20.9	20.9	46.846	426	426	1	34	0	52.338	0	4.9	8.7	9.6	12.4	0	0	0	0	4.9	3.1	5.2	0	0	0	0	0	0	5.6	7.5	11.7	8.5	16	0	0	0	0	217810000	0	4260500	26762000	30096000	42351000	0	0	0	0	7439600	1652100	7877900	0	0	0	0	0	0	14128000	15941000	20279000	18157000	28863000	0	0	0	0	0	0	956620	857600	874300	0	0	0	0	0	0	705580	0	0	0	0	0	0	604560	756910	905740	674370	995130	0	0	0	0	0	2	3	3	4	0	0	0	0	2	1	2	0	0	0	0	0	0	2	3	4	3	5	0	0	0	0	34				439	26;175;649;1898;1899;2574;3723;4104	True;True;True;True;True;True;True;True	26;175;665;1945;1946;2643;3841;4236	254;255;256;257;1461;1462;1463;1464;1465;5774;5775;5776;5777;5778;5779;5780;17862;17863;17864;25015;25016;25017;25018;25019;25020;25021;25022;36391;36392;36393;36394;36395;36396;40072	257;258;259;260;1492;1493;1494;1495;1496;5970;5971;5972;5973;5974;5975;5976;18601;18602;18603;25999;26000;26001;26002;26003;26004;26005;26006;37929;37930;37931;37932;37933;37934;41750	258;1496;5975;18602;18603;26005;37932;41750		
AT3G17910.1	AT3G17910.1	2	2	2	AT3G17910.1 | Surfeit locus 1 cytochrome c oxidase biogenesis protein | Chr3:6133581-6136053 FORWARD LENGTH=354 | 201606	1	2	2	2	0	0	0	0	0	2	2	2	1	0	0	0	0	2	2	2	2	2	0	0	0	0	0	2	1	1	2	0	0	0	0	0	2	2	2	1	0	0	0	0	2	2	2	2	2	0	0	0	0	0	2	1	1	2	0	0	0	0	0	2	2	2	1	0	0	0	0	2	2	2	2	2	0	0	0	0	0	2	1	1	2	9	9	9	39.921	354	354	1	26	0	14.566	0	0	0	0	0	9	9	9	4.5	0	0	0	0	9	9	9	9	9	0	0	0	0	0	9	4.5	4.5	9	159380000	0	0	0	0	0	11445000	15733000	14640000	3893000	0	0	0	0	18441000	23763000	4739300	15375000	7846300	0	0	0	0	0	19091000	2412800	4586100	17412000	0	0	0	0	0	207850	188380	229960	0	0	0	0	0	223250	207800	149700	238370	224420	0	0	0	0	0	252490	0	0	233880	0	0	0	0	0	2	2	2	1	0	0	0	0	3	3	2	2	2	0	0	0	0	0	3	1	1	2	26				440	1186;4663	True;True	1218;4806	11238;11239;11240;11241;11242;11243;11244;11245;11246;11247;11248;11249;11250;45092;45093;45094;45095;45096;45097;45098;45099;45100;45101;45102;45103;45104	11653;11654;11655;11656;11657;11658;11659;11660;11661;11662;11663;11664;11665;47002;47003;47004;47005;47006;47007;47008;47009;47010;47011;47012;47013;47014	11661;47012		
AT3G18240.2;AT3G18240.1;AT4G21460.1;AT4G21460.2	AT3G18240.2;AT3G18240.1;AT4G21460.1;AT4G21460.2	6;6;4;4	6;6;4;4	6;6;4;4	AT3G18240.2 | Ribosomal protein S24/S35 | Chr3:6255810-6257695 FORWARD LENGTH=419 | 201606;AT3G18240.1 | Ribosomal protein S24/S35 | Chr3:6255810-6257695 FORWARD LENGTH=419 | 201606;AT4G21460.1 | Ribosomal protein S24/S35 | Chr4:11428530-11430390 FORWARD L	4	6	6	6	0	1	2	3	2	0	1	2	3	4	0	3	0	2	4	3	3	1	1	1	1	1	3	1	1	0	1	0	1	2	3	2	0	1	2	3	4	0	3	0	2	4	3	3	1	1	1	1	1	3	1	1	0	1	0	1	2	3	2	0	1	2	3	4	0	3	0	2	4	3	3	1	1	1	1	1	3	1	1	0	1	17.2	17.2	17.2	48.052	419	419;419;415;428	1	45	0	38.12	0	3.3	8.6	11.9	8.6	0	5.5	7.9	11.2	14.8	0	11.9	0	7.9	14.1	10.3	11.2	2.4	3.1	2.4	5.5	5.5	11.9	2.4	5.5	0	2.4	179960000	0	2042900	4871800	10677000	6673200	0	4827700	13696000	18004000	8376000	0	8224900	0	9601000	23760000	10092000	31158000	4320400	2160600	0	914850	2043800	3735800	3029800	3476900	0	8270600	0	0	253690	268000	271570	0	0	238230	183740	215520	0	213230	0	136620	210660	305080	373640	0	0	0	0	0	178830	0	0	0	0	0	1	2	3	2	0	1	2	3	4	0	3	0	2	5	3	3	1	1	1	1	1	3	1	1	0	1	45				441	939;940;1162;1620;4702;5890	True;True;True;True;True;True	963;964;1193;1664;4846;6066	8912;8913;8914;8915;8916;8917;8918;8919;8920;8921;8922;10973;10974;15251;15252;15253;15254;15255;15256;15257;45578;45579;45580;45581;45582;45583;45584;45585;45586;45587;45588;45589;45590;45591;45592;45593;45594;57711;57712;57713;57714;57715;57716;57717;57718	9212;9213;9214;9215;9216;9217;9218;9219;9220;9221;9222;11367;11368;15883;15884;15885;15886;15887;15888;15889;47504;47505;47506;47507;47508;47509;47510;47511;47512;47513;47514;47515;47516;47517;47518;47519;47520;60097;60098;60099;60100;60101;60102;60103;60104	9213;9219;11368;15883;47512;60097		
AT3G18410.2;AT3G18410.1	AT3G18410.2;AT3G18410.1	2;2	2;2	1;1	AT3G18410.2 | NADH dehydrogenase ubiquinone 1 beta subcomplex subunit 10-B-like protein (Complex I subunit NDUFS6) | Chr3:6323203-6323761 FORWARD LENGTH=106 | 201606;AT3G18410.1 | NADH dehydrogenase ubiquinone 1 beta subcomplex subunit 10-B-like protein (C	2	2	2	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	18.9	18.9	10.4	12.438	106	106;106	1	7	0	12.578	0	0	0	0	0	18.9	0	0	10.4	0	0	0	0	10.4	0	0	0	0	0	0	0	0	0	18.9	10.4	0	0	78899000	0	0	0	0	0	12444000	0	0	14625000	0	0	0	0	9148500	0	0	0	0	0	0	0	0	0	29893000	12788000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365480	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	7				442	2304;5361	True;True	2359;5522	22062;22063;22064;22065;22066;52484;52485	22952;22953;22954;22955;22956;54693;54694	22952;54694		
AT3G18760.2;AT3G18760.1	AT3G18760.2;AT3G18760.1	2;2	2;2	2;2	AT3G18760.2 | Translation elongation factor EF1B/ribosomal protein S6 family protein | Chr3:6457930-6459558 REVERSE LENGTH=134 | 201606;AT3G18760.1 | Translation elongation factor EF1B/ribosomal protein S6 family protein | Chr3:6457930-6459558 REVERSE LENG	2	2	2	2	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	18.7	18.7	18.7	15.409	134	134;139	1	29	0	12.3	0	11.2	11.2	0	11.2	11.2	11.2	11.2	11.2	11.2	0	7.5	0	11.2	11.2	11.2	11.2	11.2	11.2	0	11.2	0	0	11.2	11.2	0	11.2	224180000	0	6006500	5703600	0	8351800	13220000	21179000	18926000	18545000	6425700	0	423410	0	16690000	21325000	7005900	19407000	6966500	7410800	0	2956500	0	0	19207000	9622900	0	14805000	0	0	0	0	0	263700	281270	270470	0	0	0	0	0	247960	224180	208160	0	176020	0	0	0	0	0	231080	0	0	176120	0	1	1	0	1	2	2	2	1	1	0	1	0	2	2	2	2	2	1	0	1	0	0	2	1	0	2	29				443	1262;2484	True;True	1295;2546	12019;24103;24104;24105;24106;24107;24108;24109;24110;24111;24112;24113;24114;24115;24116;24117;24118;24119;24120;24121;24122;24123;24124;24125;24126;24127;24128;24129;24130	12455;25061;25062;25063;25064;25065;25066;25067;25068;25069;25070;25071;25072;25073;25074;25075;25076;25077;25078;25079;25080;25081;25082;25083;25084;25085;25086;25087;25088	12455;25083		
AT3G18890.1	AT3G18890.1	2	2	2	AT3G18890.1 | NAD(P)-binding Rossmann-fold superfamily protein | Chr3:6511169-6514729 FORWARD LENGTH=641 | 201606	1	2	2	2	0	0	0	0	0	2	2	1	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	2	2	2	0	0	0	0	0	2	2	1	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	2	2	2	0	0	0	0	0	2	2	1	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	2	2	2	5.5	5.5	5.5	68.341	641	641	1	18	0	20.894	0	0	0	0	0	5.5	5.5	2	2	0	0	0	0	0	2	2	5.5	3.4	0	0	0	0	0	2	5.5	5.5	5.5	33167000	0	0	0	0	0	4201800	6925000	1113000	1308700	0	0	0	0	0	4417300	1034600	2900600	1250000	0	0	0	0	0	0	4853100	3465000	1698100	0	0	0	0	0	80694	86557	0	0	0	0	0	0	0	0	0	40871	0	0	0	0	0	0	0	72380	52555	0	0	0	0	0	0	3	2	1	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	2	2	2	19				444	2985;3453	True;True	3066;3547	29095;29096;29097;29098;29099;29100;29101;33750;33751;33752;33753;33754;33755;33756;33757;33758;33759;33760	30253;30254;30255;30256;30257;30258;30259;30260;35148;35149;35150;35151;35152;35153;35154;35155;35156;35157;35158	30258;35148		
AT3G19170.1;AT3G19170.2	AT3G19170.1;AT3G19170.2	19;17	19;17	8;7	AT3G19170.1 | presequence protease 1 | Chr3:6625578-6631874 REVERSE LENGTH=1080 | 201606;AT3G19170.2 | presequence protease 1 | Chr3:6625578-6631874 REVERSE LENGTH=1069 | 201606	2	19	19	8	2	8	11	12	9	4	4	6	5	9	7	10	0	3	4	5	3	2	8	4	8	8	6	2	4	3	3	2	8	11	12	9	4	4	6	5	9	7	10	0	3	4	5	3	2	8	4	8	8	6	2	4	3	3	2	5	6	5	6	3	2	4	3	5	3	6	0	2	2	3	2	1	5	4	5	4	4	2	3	2	2	24.2	24.2	11.3	121.01	1080	1080;1069	1	157	0	130.5	2.9	10.7	13.6	14.4	11.4	5.5	5.5	8.1	6.7	11.9	9.4	12.5	0	3.9	5.5	6.4	4.1	2.9	11.4	5.8	11.1	10.2	7.9	2.9	5	4.1	4.8	915150000	303440	37800000	55416000	104280000	71836000	25890000	39530000	46317000	41003000	63075000	26521000	78394000	0	26156000	44190000	20583000	31296000	5241800	46018000	12871000	22472000	30214000	20569000	10961000	18944000	15547000	19730000	0	1444000	1892000	2315700	1600900	582660	624920	734320	594880	1704800	1561600	1755900	0	592420	584620	688570	634170	303000	1508900	902840	919720	1159700	973220	198080	374360	309840	359590	2	9	11	13	9	4	4	5	6	10	7	11	0	4	4	5	3	3	9	5	7	7	8	3	4	3	3	159				445	55;219;897;935;1590;1958;2178;2272;2290;2373;2746;3054;3320;3787;3814;5046;5125;5647;5689	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	55;222;920;959;1634;2006;2231;2326;2344;2431;2821;3136;3410;3909;3937;5200;5280;5815;5857	458;459;460;461;462;463;464;465;466;467;468;469;470;471;1916;8428;8429;8430;8431;8432;8433;8434;8435;8436;8437;8438;8439;8440;8441;8442;8443;8444;8445;8446;8447;8448;8449;8841;14988;14989;14990;18448;18449;18450;18451;18452;18453;18454;18455;18456;18457;18458;18459;18460;18461;20616;20617;20618;20619;20620;20621;20622;21652;21859;21860;21861;21862;21863;21864;21865;21866;21867;21868;21869;21870;21871;21872;21873;21874;22914;22915;22916;22917;22918;22919;22920;22921;22922;22923;22924;22925;22926;22927;22928;22929;22930;22931;22932;22933;22934;22935;22936;22937;22938;26609;29729;29730;29731;29732;29733;32361;36953;36954;36955;36956;36957;36958;36959;36960;36961;36962;36963;36964;36965;37289;37290;37291;37292;37293;37294;37295;37296;49475;49476;49477;50194;55200;55201;55202;55203;55204;55205;55206;55207;55208;55209;55210;55211;55212;55213;55214;55215;55216;55217;55218;55219;55684	469;470;471;472;473;474;475;476;477;478;479;480;481;482;1956;8712;8713;8714;8715;8716;8717;8718;8719;8720;8721;8722;8723;8724;8725;8726;8727;8728;8729;8730;8731;8732;8733;9141;15610;15611;15612;19201;19202;19203;19204;19205;19206;19207;19208;19209;19210;19211;19212;19213;19214;19215;21446;21447;21448;21449;21450;21451;21452;22529;22741;22742;22743;22744;22745;22746;22747;22748;22749;22750;22751;22752;22753;22754;22755;22756;23838;23839;23840;23841;23842;23843;23844;23845;23846;23847;23848;23849;23850;23851;23852;23853;23854;23855;23856;23857;23858;23859;23860;23861;23862;23863;23864;23865;23866;23867;23868;27667;30924;30925;30926;30927;30928;33684;38511;38512;38513;38514;38515;38516;38517;38518;38519;38520;38521;38522;38523;38873;38874;38875;38876;38877;38878;38879;38880;51546;51547;51548;52290;57498;57499;57500;57501;57502;57503;57504;57505;57506;57507;57508;57509;57510;57511;57512;57513;57514;57515;57516;57517;58000	477;1956;8715;9141;15610;19212;21448;22529;22742;23853;27667;30924;33684;38523;38875;51546;52290;57515;58000		
AT3G19508.1	AT3G19508.1	2	2	2	AT3G19508.1 | complex 1 protein%2C LYR family protein | Chr3:6762378-6762696 REVERSE LENGTH=81 | 201606	1	2	2	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13.6	13.6	13.6	9.642	81	81	1	3	0.001269	11.741	0	0	0	0	12.3	0	0	0	0	0	13.6	0	0	0	0	0	0	0	0	0	0	12.3	0	0	0	0	0	6017200	0	0	0	0	2858400	0	0	0	0	0	574150	0	0	0	0	0	0	0	0	0	0	2584700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93926	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3				446	3056;5961	True;True	3138;6139	29747;58489;58490	30942;60913;60914	30942;60914		
AT3G19740.1	AT3G19740.1	6	6	4	AT3G19740.1 | P-loop containing nucleoside triphosphate hydrolases superfamily protein | Chr3:6855944-6862930 REVERSE LENGTH=993 | 201606	1	6	6	4	0	0	0	0	0	0	0	3	0	2	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7.6	7.6	5.2	111.36	993	993	1	10	0	33.889	0	0	0	0	0	0	0	3.3	0	2.2	0	1.2	2.1	1.2	1.2	0	0	0	0.9	0	0	0	0	0	0	0	0	23338000	0	0	0	0	0	0	0	7621200	0	4399200	0	2973000	226840	3445900	3858200	0	0	0	813480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	9				447	877;1377;3006;3539;3746;4252	True;True;True;True;True;True	898;1415;3088;3635;3867;4387	8217;8218;12991;29229;29230;34597;36633;41362;41363;41364	8493;8494;13514;30400;30401;36033;38177;43114;43115;43116	8493;13514;30401;36033;38177;43114		
AT3G20000.1;AT3G20000.2	AT3G20000.1;AT3G20000.2	8;4	8;4	8;4	AT3G20000.1 | translocase of the outer mitochondrial membrane 40 | Chr3:6967685-6970247 FORWARD LENGTH=309 | 201606;AT3G20000.2 | translocase of the outer mitochondrial membrane 40 | Chr3:6968479-6970247 FORWARD LENGTH=238 | 201606	2	8	8	8	1	0	0	0	0	1	3	3	1	0	0	0	0	1	3	3	4	3	0	0	0	0	0	5	5	2	2	1	0	0	0	0	1	3	3	1	0	0	0	0	1	3	3	4	3	0	0	0	0	0	5	5	2	2	1	0	0	0	0	1	3	3	1	0	0	0	0	1	3	3	4	3	0	0	0	0	0	5	5	2	2	42.7	42.7	42.7	34.25	309	309;238	1	42	0	49.388	8.1	0	0	0	0	7.8	23.3	21	7.8	0	0	0	0	7.8	19.7	15.5	24.9	21	0	0	0	0	0	29.8	31.4	15.2	13.3	407260000	6534000	0	0	0	0	5639900	21141000	19227000	50561000	0	0	0	0	9364500	45286000	43293000	66442000	11609000	0	0	0	0	0	44491000	41342000	14276000	28053000	0	0	0	0	0	0	361980	358200	0	0	0	0	0	0	399050	0	424650	354950	0	0	0	0	0	529340	423400	494910	544800	4	0	0	0	0	1	4	3	1	0	0	0	0	1	5	4	4	3	0	0	0	0	0	8	5	2	2	47				448	113;1656;2628;2987;3294;4374;5034;5855	True;True;True;True;True;True;True;True	113;1700;2700;3068;3382;4511;5188;6029;6030	866;867;15589;15590;15591;15592;15593;15594;15595;15596;15597;15598;15599;25518;25519;25520;25521;25522;25523;29106;32069;32070;32071;42364;49306;49307;49308;57201;57202;57203;57204;57205;57206;57207;57208;57209;57210;57211;57212;57213;57214;57215	887;888;16238;16239;16240;16241;16242;16243;16244;16245;16246;16247;16248;16249;16250;16251;16252;16253;26537;26538;26539;26540;26541;26542;30265;33379;33380;33381;44151;51371;51372;51373;59558;59559;59560;59561;59562;59563;59564;59565;59566;59567;59568;59569;59570;59571;59572;59573	888;16251;26539;30265;33381;44151;51373;59569	45	209
AT3G20370.2;AT3G20370.1	AT3G20370.2;AT3G20370.1	2;2	2;2	2;2	AT3G20370.2 | TRAF-like family protein | Chr3:7105641-7107079 FORWARD LENGTH=357 | 201606;AT3G20370.1 | TRAF-like family protein | Chr3:7105481-7107079 FORWARD LENGTH=379 | 201606	2	2	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	5.9	5.9	5.9	41.105	357	357;379	1	6	0	11.933	0	0	0	0	0	3.4	0	0	0	0	0	0	0	3.4	0	0	0	3.4	0	0	0	0	0	5.9	0	3.4	0	40536000	0	0	0	0	0	6581700	0	0	0	0	0	0	0	4840500	0	0	0	3211300	0	0	0	0	0	21041000	0	4861000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257250	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	6				449	370;3630	True;True	376;3733	3378;3379;3380;3381;3382;35503	3470;3471;3472;3473;3474;36989	3471;36989		
AT3G20380.1	AT3G20380.1	2	2	2	AT3G20380.1 | TRAF-like family protein | Chr3:7108183-7109770 FORWARD LENGTH=375 | 201606	1	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	6.1	6.1	6.1	43.157	375	375	1	6	0	11.812	0	0	0	0	0	0	3.2	0	0	0	0	0	0	3.2	0	0	0	3.2	0	0	0	0	0	6.1	0	0	3.2	23711000	0	0	0	0	0	0	4860300	0	0	0	0	0	0	3428200	0	0	0	1614500	0	0	0	0	0	10861000	0	0	2947100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132790	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	6				450	5382;5574	True;True	5543;5740	52655;52656;52657;52658;52659;54482	54867;54868;54869;54870;54871;56746	54871;56746		
AT3G20390.1;AT3G20390.2	AT3G20390.1;AT3G20390.2	1;1	1;1	1;1	AT3G20390.1 | endoribonuclease L-PSP family protein | Chr3:7110227-7111695 REVERSE LENGTH=187 | 201606;AT3G20390.2 | endoribonuclease L-PSP family protein | Chr3:7110227-7111899 REVERSE LENGTH=255 | 201606	2	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	8	8	8	19.816	187	187;255	1	6	0.0011534	7.6653	0	0	0	0	8	0	8	0	0	0	0	0	0	0	8	0	0	8	0	0	0	0	0	0	8	0	8	6735300	0	0	0	0	0	0	1512000	0	0	0	0	0	0	0	2222100	0	0	0	0	0	0	0	0	0	0	0	3001100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36892	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	6				451	1708	True	1754	16167;16168;16169;16170;16171;16172	16844;16845;16846;16847;16848;16849	16844		
