Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT4G02541	AT4G02541.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G06090	AT3G06090.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G30845	AT3G30845.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G41530	AT5G41530.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G49110	AT1G49110.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G52155	AT1G52155.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G23910	AT3G23910.1	reverse transcriptase-like protein;(source:Araport11)	protein_coding			
AT1G42525	AT1G42525.1	cysteine proteinase superfamily protein;(source:Araport11)	protein_coding			
AT4G28775	AT4G28775.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G28395	AT1G28395.2	hypothetical protein;(source:Araport11)	protein_coding			
AT1G61090	AT1G61090.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G70505	AT1G70505.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G52220	AT5G52220.1	chromosome transmission fidelity-like protein;(source:Araport11)	protein_coding			
AT2G06908	AT2G06908.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G07020	AT1G07020.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G17960	AT4G17960.1	phospholipid hydroperoxide glutathione peroxidase;(source:Araport11)	protein_coding			
AT5G41620	AT5G41620.1	intracellular protein transporter USO1-like protein;(source:Araport11)	protein_coding			
AT5G46770	AT5G46770.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G36960	AT1G36960.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G77655	AT1G77655.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G11680	AT5G11680.1	classical AGP protein;(source:Araport11)	protein_coding			
AT5G49050	AT5G49050.1	universal stress A-like protein;(source:Araport11)	protein_coding			
AT1G17510	AT1G17510.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G30960	AT2G30960.1	myosin-M heavy chain-like protein;(source:Araport11)	protein_coding			
AT2G11626	AT2G11626.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G08490	AT3G08490.1	delta-latroinsectotoxin-Lt1a protein;(source:Araport11)	protein_coding			
AT3G11640	AT3G11640.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G28690	AT4G28690.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G17890	AT3G17890.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G10890	AT1G10890.1	arginine/glutamate-rich 1 protein;(source:Araport11)	protein_coding			
AT2G17705	AT2G17705.1	methionine-S-oxide reductase;(source:Araport11)	protein_coding			
AT5G54350	AT5G54350.1	C2H2-type zinc finger protein;(source:Araport11)	protein_coding			
AT5G47570	AT5G47570.1	NADH dehydrogenase ubiquinone 1 beta subcomplex subunit;(source:Araport11)	protein_coding			
AT4G33145	AT4G33145.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G01860	AT3G01860.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G24516	AT3G24516.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G49260	AT1G49260.1	mechanosensitive ion channel-like protein;(source:Araport11)	protein_coding			
AT1G17490	AT1G17490.1	epidermal patterning factor-like protein;(source:Araport11)	protein_coding			
AT1G22065	AT1G22065.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G07932	AT4G07932.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G26235	AT3G26235.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G26520	AT2G26520.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G29385	AT3G29385.1	dentin sialophosphoprotein-like protein;(source:Araport11)	protein_coding			
AT5G44010	AT5G44010.1	fanconi anemia group F protein (FANCF);(source:Araport11)	protein_coding			
AT4G18310	AT4G18310.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G77765	AT1G77765.4	transmembrane protein;(source:Araport11)	protein_coding			
AT2G35215	AT2G35215.1	plant/protein;(source:Araport11)	protein_coding			
AT5G66000	AT5G66000.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G37700	AT4G37700.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G44575	AT5G44575.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G12190	AT3G12190.1	golgin family A protein;(source:Araport11)	protein_coding			
AT1G22140	AT1G22140.1	zinc finger CCCH domain protein;(source:Araport11)	protein_coding			
AT1G12180	AT1G12180.1	14.7 kDa heat shock-like protein;(source:Araport11)	protein_coding			
AT2G13463	AT2G13463.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G65710	AT1G65710.1	serine/arginine repetitive matrix-like protein;(source:Araport11)	protein_coding			
AT1G21930	AT1G21930.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G49960	AT5G49960.1	ion channel protein;(source:Araport11)	protein_coding			
AT1G55546	AT1G55546.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;(source:Araport11)	protein_coding			
AT1G31835	AT1G31835.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G18310	AT3G18310.1	TATA box-binding protein associated factor RNA polymerase I subunit C;(source:Araport11)	protein_coding			
AT5G06280	AT5G06280.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G25573	AT3G25573.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G22370	AT4G22370.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G19700	AT2G19700.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G71015	AT1G71015.1	plastid movement impaired protein;(source:Araport11)	protein_coding			
AT4G31980	AT4G31980.1	PPPDE thiol peptidase family protein;(source:Araport11)	protein_coding			
AT5G23610	AT5G23610.2	DYAD protein;(source:Araport11)	protein_coding			
AT3G46300	AT3G46300.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G38190	AT5G38190.1	myosin heavy chain-like protein;(source:Araport11)	protein_coding			
AT5G28720	AT5G28720.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G44140	AT3G44140.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G44850	AT2G44850.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G01770	AT1G01770.1	propionyl-CoA carboxylase;(source:Araport11)	protein_coding			
AT5G48500	AT5G48500.1	pathogenic type III effector avirulence factor Avr AvrRpt-cleavage: cleavage site protein;(source:Araport11)	protein_coding			
AT1G01400	AT1G01400.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G52825	AT1G52825.1	sporulation-specific protein;(source:Araport11)	protein_coding			
AT2G46360	AT2G46360.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G60200	AT3G60200.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G21237	AT2G21237.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G36580	AT1G36580.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G76070	AT1G76070.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G59400	AT5G59400.2	PGR5-like A protein;(source:Araport11)	protein_coding			
AT4G28100	AT4G28100.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G53410	AT5G53410.1	F-box associated ubiquitination effector family protein;(source:Araport11)	protein_coding			
AT1G24060	AT1G24060.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G51500	AT3G51500.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G15029	AT2G15029.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G35688	AT5G35688.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G11290	AT3G11290.1	Myb/SANT-like DNA-binding domain protein;(source:Araport11)	protein_coding			
AT1G42440	AT1G42440.1	pre-rRNA-processing TSR1-like protein;(source:Araport11)	protein_coding			
AT1G02570	AT1G02570.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G29580	AT1G29580.1	mediator of RNA polymerase II transcription subunit;(source:Araport11)	protein_coding			
AT5G60260	AT5G60260.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G26800	AT5G26800.1	xaa-pro aminopeptidase P;(source:Araport11)	protein_coding			
AT5G64880	AT5G64880.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G46900	AT2G46900.1	transcription factor-like protein;(source:Araport11)	protein_coding			
AT5G47455	AT5G47455.4	hypothetical protein;(source:Araport11)	protein_coding			
AT5G55620	AT5G55620.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G57200	AT3G57200.1	glycosyltransferase-like protein;(source:Araport11)	protein_coding			
AT3G49115	AT3G49115.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT5G24460	AT5G24460.1	RING-H2 zinc finger protein;(source:Araport11)	protein_coding			
AT3G61829	AT3G61829.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G20250	AT4G20250.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G70400	AT1G70400.3	NOSIC domain protein;(source:Araport11)	protein_coding			
AT5G42504	AT5G42504.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G08780	AT3G08780.1	BRISC complex subunit Abro1-like protein;(source:Araport11)	protein_coding			
AT5G05113	AT5G05113.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G11280	AT5G11280.1	tail fiber;(source:Araport11)	protein_coding			
AT3G46880	AT3G46880.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G01250	AT3G01250.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G57110	AT3G57110.1	exonuclease V;(source:Araport11)	protein_coding			
AT3G45490	AT3G45490.1	reverse transcriptase-like protein;(source:Araport11)	protein_coding			
AT1G20405	AT1G20405.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G79970	AT1G79970.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G04000	AT5G04000.2	hypothetical protein;(source:Araport11)	protein_coding			
AT3G15160	AT3G15160.1	AP-5 complex subunit zeta-1;(source:Araport11)	protein_coding			
AT1G35614	AT1G35614.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G30695	AT2G30695.1	bacterial trigger factor;(source:Araport11)	protein_coding			
AT2G04235	AT2G04235.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G07485	AT1G07485.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G27710	AT5G27710.1	T-box protein;(source:Araport11)	protein_coding			
AT4G02550	AT4G02550.3	Myb/SANT-like DNA-binding domain protein;(source:Araport11)	protein_coding			
AT5G05360	AT5G05360.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G63135	AT5G63135.1	transcription termination factor;(source:Araport11)	protein_coding			
AT4G30740	AT4G30740.1	QWRF motif protein;(source:Araport11)	protein_coding			
AT1G48953	AT1G48953.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G23321	AT2G23321.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G07738	AT2G07738.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G32180	AT3G32180.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G78170	AT1G78170.1	E3 ubiquitin-protein ligase;(source:Araport11)	protein_coding			
AT2G03310	AT2G03310.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G57785	AT3G57785.1	ESSS subunit of NADH:ubiquinone oxidoreductase (complex I) protein;(source:Araport11)	protein_coding			
AT4G03600	AT4G03600.1	pyrroline-5-carboxylate reductase;(source:Araport11)	protein_coding			
AT4G07526	AT4G07526.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G57510	AT5G57510.1	cotton fiber protein;(source:Araport11)	protein_coding			
AT5G03920	AT5G03920.1	F-box protein;(source:Araport11)	protein_coding			
AT1G51035	AT1G51035.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G53760	AT1G53760.1	K+-H+ exchange-like protein;(source:Araport11)	protein_coding			
AT3G44230	AT3G44230.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G11211	AT4G11211.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G61095	AT1G61095.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G08555	AT4G08555.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G41905	AT2G41905.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G57450	AT3G57450.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G15710	AT4G15710.1	cystatin-like protein;(source:Araport11)	protein_coding			
AT2G06645	AT2G06645.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G07280	AT2G07280.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G39855	AT2G39855.1	plant/protein;(source:Araport11)	protein_coding			
AT1G75150	AT1G75150.1	DNA ligase-like protein;(source:Araport11)	protein_coding			
AT3G49645	AT3G49645.1	FAD-binding protein;(source:Araport11)	protein_coding			
AT1G75870	AT1G75870.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G10040	AT5G10040.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G25409	AT2G25409.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G46995	AT2G46995.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G76480	AT1G76480.2	caveolin-1 protein;(source:Araport11)	protein_coding			
AT3G29639	AT3G29639.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G10560	AT2G10560.1	chaperone;(source:Araport11)	protein_coding			
AT4G21780	AT4G21780.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G18661	AT5G18661.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT5G65300	AT5G65300.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G27830	AT5G27830.4	folate receptor family protein;(source:Araport11)	protein_coding			
AT3G49460	AT3G49460.1	60S acidic ribosomal-like protein;(source:Araport11)	protein_coding			
AT1G77885	AT1G77885.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G28327	AT1G28327.1	E3 ubiquitin-protein ligase;(source:Araport11)	protein_coding			
AT3G28216	AT3G28216.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G28180	AT4G28180.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G26270	AT2G26270.1	BRCT domain DNA repair protein;(source:Araport11)	protein_coding			
AT5G66780	AT5G66780.1	late embryogenesis abundant protein;(source:Araport11)	protein_coding			
AT4G33585	AT4G33585.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G78890	AT1G78890.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G27180	AT2G27180.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G53740	AT5G53740.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G64190	AT5G64190.1	neuronal PAS domain protein;(source:Araport11)	protein_coding			
AT1G70100	AT1G70100.3	neurofilament heavy protein;(source:Araport11)	protein_coding			
AT4G12540	AT4G12540.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G44925	AT2G44925.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G66090	AT5G66090.1	cell wall integrity/stress response component;(source:Araport11)	protein_coding			
AT1G74860	AT1G74860.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G46360	AT3G46360.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G53640	AT5G53640.1	F-box/FBD/LRR protein;(source:Araport11)	protein_coding			
AT3G19920	AT3G19920.1	BTB/POZ domain protein;(source:Araport11)	protein_coding			
AT2G17787	AT2G17787.1	cylicin;(source:Araport11)	protein_coding			
AT5G09445	AT5G09445.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G62400	AT5G62400.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G11911	AT4G11911.1	STAY-GREEN-like protein;(source:Araport11)	protein_coding			
AT1G07860	AT1G07860.1	Serine/Threonine-kinase RLCKVII protein;(source:Araport11)	protein_coding			
AT1G63105	AT1G63105.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G31440	AT4G31440.1	transcriptional regulator of RNA polII, SAGA, subunit;(source:Araport11)	protein_coding			
AT2G34310	AT2G34310.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G29130	AT3G29130.2	kxDL motif protein;(source:Araport11)	protein_coding			
AT1G22885	AT1G22885.2	transmembrane protein;(source:Araport11)	protein_coding			
AT2G42040	AT2G42040.1	WRC protein;(source:Araport11)	protein_coding			
AT3G47100	AT3G47100.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G30630	AT4G30630.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G07380	AT4G07380.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G48220	AT3G48220.1	F-box protein;(source:Araport11)	protein_coding			
AT5G16100	AT5G16100.1	RWP-RK domain protein;(source:Araport11)	protein_coding			
AT4G16807	AT4G16807.1	ATP-dependent caseinolytic protease/crotonase family protein;(source:Araport11)	protein_coding			
AT3G26742	AT3G26742.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G24388	AT1G24388.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G49260	AT5G49260.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G27389	AT2G27389.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G25014	AT3G25014.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G36960	AT5G36960.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G38790	AT2G38790.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G36230	AT4G36230.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G49230	AT3G49230.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G49640	AT5G49640.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G30190	AT1G30190.1	cotton fiber protein;(source:Araport11)	protein_coding			
AT1G07040	AT1G07040.1	plant/protein;(source:Araport11)	protein_coding			
AT2G10608	AT2G10608.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G53905	AT5G53905.1	prolamin-like protein;(source:Araport11)	protein_coding			
AT4G04680	AT4G04680.1	Rix1 complex component;(source:Araport11)	protein_coding			
AT4G26450	AT4G26450.1	hypothetical protein;(source:Araport11)	protein_coding		WPP DOMAIN INTERACTING PROTEIN 1 (WIP1)	
AT5G56850	AT5G56850.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G03550	AT5G03550.1	MATH domain/coiled-coil protein;(source:Araport11)	protein_coding			
AT4G18230	AT4G18230.1	UDP-N-acetylglucosamine transferase subunit ALG14-like protein;(source:Araport11)	protein_coding			
AT1G77960	AT1G77960.1	repressor ROX1-like protein;(source:Araport11)	protein_coding			
AT5G37010	AT5G37010.1	rho GTPase-activating protein;(source:Araport11)	protein_coding			
AT4G01516	AT4G01516.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT1G69280	AT1G69280.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G18050	AT3G18050.1	GPI-anchored protein;(source:Araport11)	protein_coding			
AT5G50710	AT5G50710.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G10865	AT1G10865.1	cytochrome C oxidase assembly factor;(source:Araport11)	protein_coding			
AT2G05370	AT2G05370.1	RNA-dependent RNA polymerase-like protein;(source:Araport11)	protein_coding			
AT5G46300	AT5G46300.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G27580	AT4G27580.1	phosphatidylinositol transfer SFH5-like protein;(source:Araport11)	protein_coding			
AT5G65207	AT5G65207.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G19663	AT3G19663.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G36280	AT5G36280.1	acyl carrier protein;(source:Araport11)	protein_coding			
AT5G44150	AT5G44150.1	phosphorelay protein;(source:Araport11)	protein_coding			
AT1G65270	AT1G65270.2	ER membrane protein complex subunit-like protein;(source:Araport11)	protein_coding			
AT3G10880	AT3G10880.1	tropomyosin;(source:Araport11)	protein_coding			
AT5G59080	AT5G59080.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G07775	AT2G07775.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G37090	AT4G37090.1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-2, 6-diaminopimelate ligase;(source:Araport11)	protein_coding			
AT3G13433	AT3G13433.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G02320	AT1G02320.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G35880	AT1G35880.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G24313	AT5G24313.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G14688	AT1G14688.1	E3 ubiquitin ligase;(source:Araport11)	protein_coding			
AT4G07965	AT4G07965.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G44740	AT1G44740.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G53895	AT5G53895.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G57360	AT3G57360.1	tRNA-splicing endonuclease subunit;(source:Araport11)	protein_coding			
AT5G50665	AT5G50665.2	hypothetical protein;(source:Araport11)	protein_coding			
AT4G19950	AT4G19950.1	polyadenylate-binding protein 1-B-binding protein;(source:Araport11)	protein_coding			
AT4G06534	AT4G06534.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G54095	AT5G54095.1	proteoglycan-like protein;(source:Araport11)	protein_coding			
AT3G44280	AT3G44280.1	peptidyl-prolyl cis-trans isomerase G;(source:Araport11)	protein_coding			
AT3G45820	AT3G45820.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G35733	AT2G35733.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G56670	AT3G56670.1	F-box/associated interaction domain protein;(source:Araport11)	protein_coding			
AT2G29180	AT2G29180.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G53970	AT1G53970.1	GDSL esterase/lipase-like protein;(source:Araport11)	protein_coding			
AT1G47640	AT1G47640.1	seven transmembrane domain protein;(source:Araport11)	protein_coding			
AT5G14730	AT5G14730.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G12830	AT1G12830.1	nucleolin;(source:Araport11)	protein_coding			
AT5G01881	AT5G01881.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G22470	AT1G22470.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G40435	AT2G40435.1	transcription factor SCREAM-like protein;(source:Araport11)	protein_coding			
AT5G06043	AT5G06043.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G28570	AT2G28570.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G24090	AT4G24090.1	homer protein;(source:Araport11)	protein_coding			
AT4G33640	AT4G33640.1	costars family protein;(source:Araport11)	protein_coding			
AT1G20875	AT1G20875.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G63150	AT5G63150.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G48610	AT5G48610.1	myb-like protein X;(source:Araport11)	protein_coding			
AT1G29540	AT1G29540.1	LOW protein: protein BOBBER-like protein;(source:Araport11)	protein_coding			
AT1G30814	AT1G30814.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G28550	AT5G28550.1	separase;(source:Araport11)	protein_coding			
AT4G02000	AT4G02000.1	Ta11-like non-LTR retrotransposon;(source:Araport11)	protein_coding			
AT4G12731	AT4G12731.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G36990	AT1G36990.1	C-jun-amino-terminal kinase-interacting protein;(source:Araport11)	protein_coding			
AT4G02140	AT4G02140.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G33490	AT1G33490.1	E3 ubiquitin-protein ligase;(source:Araport11)	protein_coding			
AT3G04020	AT3G04020.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G03930	AT5G03930.1	F-box protein;(source:Araport11)	protein_coding			
AT1G24147	AT1G24147.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G31940	AT2G31940.1	oxidoreductase/transition metal ion-binding protein;(source:Araport11)	protein_coding			
AT4G13266	AT4G13266.1	ankyrin repeat protein;(source:Araport11)	protein_coding			
AT3G27340	AT3G27340.1	Myb domain protein;(source:Araport11)	protein_coding			
AT4G05630	AT4G05630.1	B3 domain protein;(source:Araport11)	protein_coding			
AT1G73090	AT1G73090.2	WD repeat protein;(source:Araport11)	protein_coding			
AT2G02103	AT2G02103.1	Ta11-like non-LTR retrotransposon;(source:Araport11)	protein_coding			
AT1G68238	AT1G68238.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G23834	AT2G23834.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G35750	AT2G35750.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G39600	AT5G39600.1	39S ribosomal protein;(source:Araport11)	protein_coding			
AT2G22270	AT2G22270.1	hematological/neurological-like protein;(source:Araport11)	protein_coding			
AT3G46220	AT3G46220.2	E3 UFM1-protein ligase-like protein;(source:Araport11)	protein_coding			
AT4G27510	AT4G27510.1	2-isopropylmalate synthase;(source:Araport11)	protein_coding			
AT3G14760	AT3G14760.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G32000	AT1G32000.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G21080	AT2G21080.1	Ras guanine nucleotide exchange factor K;(source:Araport11)	protein_coding			
AT1G71780	AT1G71780.1	WD repeat protein;(source:Araport11)	protein_coding			
AT1G69430	AT1G69430.1	Son of sevenless protein;(source:Araport11)	protein_coding			
AT3G13674	AT3G13674.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G55060	AT5G55060.1	Rab3 GTPase-activating protein catalytic subunit;(source:Araport11)	protein_coding			
AT4G28930	AT4G28930.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G23880	AT4G23880.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G56880	AT5G56880.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G53625	AT1G53625.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G21950	AT4G21950.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G70209	AT1G70209.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G29620	AT2G29620.1	dentin sialophosphoprotein;(source:Araport11)	protein_coding			
AT2G03565	AT2G03565.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G56555	AT1G56555.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G60560	AT3G60560.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G25990	AT5G25990.1	core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein;(source:Araport11)	protein_coding			
AT2G31480	AT2G31480.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G10455	AT1G10455.1	B3 DNA-binding domain protein;(source:Araport11)	protein_coding			
AT4G02465	AT4G02465.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G13572	AT4G13572.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G37820	AT4G37820.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G76660	AT1G76660.1	hydroxyproline-rich glycoprotein family protein;(source:Araport11)	protein_coding			
AT4G19430	AT4G19430.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G02795	AT2G02795.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G18692	AT4G18692.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G51080	AT1G51080.1	golgin family A protein;(source:Araport11)	protein_coding			
AT4G28068	AT4G28068.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT2G31141	AT2G31141.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G58790	AT5G58790.2	hypothetical protein;(source:Araport11)	protein_coding			
AT1G21500	AT1G21500.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G08090	AT5G08090.1	transmembrane protein;(source:Araport11)	protein_coding			
