"","AGI","description","location_consensus","left","right","direction","encoded","clp1_RNA_log2fc","clp1_RNA_padj","clp1_Protein_membrane_log2fc","clp1_Protein_membrane_padj","clp1_Protein_soluble_log2fc","clp1_Protein_soluble_padj","clp2_RNA_log2fc","clp2_RNA_padj","clp2_Protein_membrane_log2fc","clp2_Protein_membrane_padj","clp2_Protein_soluble_log2fc","clp2_Protein_soluble_padj"
"166","AT2G05100.1","LHCB2.1","plastid",1823240,1824425,"reverse","Nucleus",-0.00829165363703733,0.986673363689397,0.618,0.605,2.37,0.00131,0.157224572535814,0.522188739170437,-0.481,0.83,0.955,0.553
"167","AT2G05100.2","LHCB2.2","plastid",1823240,1824425,"reverse","Nucleus",-0.00829165363703733,0.986673363689397,-0.871,0.477,2.22,0.00431,0.157224572535814,0.522188739170437,-0.151,0.869,1.28,0.387
"168","AT2G05100.3","LHCB2.4","plastid",1823240,1824425,"reverse","Nucleus",-0.00829165363703733,0.986673363689397,0.327,0.743,3.19,0.000307,0.157224572535814,0.522188739170437,0.0632,0.877,1.89,0.255
"169","AT2G05380.1","glycine-rich protein 3 short isoform;glycine-rich protein 3 short isoform (GRP3S) mRNA, complete","extracellular",1966816,1968037,"forward","Nucleus",0.00782940434329999,0.97415947121779,0.338,0.568,0.197,0.72,1.51138822720373,7.83830916286559e-07,-0.194,0.841,0.35,0.673
"170","AT2G05520.1","Glycine-rich protein family","extracellular",2026162,2027117,"forward","Nucleus",-0.00083230311314719,0.999108352988235,-0.341,0.694,-0.652,0.482,0.0136679534873098,0.965815029435416,-1.19,0.589,-1.08,0.359
"171","AT2G05520.2","GRP3","extracellular",2026162,2027117,"forward","Nucleus",-0.00083230311314719,0.999108352988235,0.301,0.685,-0.403,0.626,0.0136679534873098,0.965815029435416,-0.362,0.823,-1.06,0.256
"172","AT2G05710.1","aconitase 3;Encodes an aconitase that can catalyze the conversion of citrate to isocitrate through a cis-aconitate intermediate, indicating that it may participate in the TCA cycle and other primary metabolic pathways. The protein is believed to accumulate in the mitochondria and the cytosol. It affects CSD2 (At2g28190 - a superoxide dismutase) transcript levels and may play a role in the response to oxidative stress. One member of the family (ACO1 - At35830) was shown to specifically bind to the 5' UTR of CSD2 in vitro. ACO3 is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds.","mitochondrion",2141399,2146678,"forward","Nucleus",0.0198356336958619,0.960725523951276,-0.261,0.204,-0.224,0.212,0.641369223863721,3.22428252307379e-06,-0.275,0.601,-0.235,0.402
"173","AT2G05990.1","NAD(P)-binding Rossmann-fold superfamily protein;Encodes enoyl-ACP reductase a component of the fatty acid synthase complex.  A reduced function mutation in this gene, mod1, was found in a screen for premature cell death mutants. Mutant plants have reduced lipid level and pleiotropic morphological defects, including chlorotic and abnormally shaped leaves.","plastid",2322258,2325146,"forward","Nucleus",0.223283251941472,0.281052363903045,0.65,0.463,-0.59,0.484,0.129185992018118,0.35582941257042,0.223,0.853,-0.661,0.591
"174","AT2G06050.1","oxophytodienoate-reductase 3;Encodes a 12-oxophytodienoate reductase that is required for jasmonate biosynthesis. Mutants are male sterile and defective in pollen dehiscence. Shows activity towards 2,4,6-trinitrotoluene.","peroxisome",2359115,2362180,"reverse","Nucleus",0.00823585265148315,0.998022334505606,-0.595,0.585,-0.639,0.545,0.181210606377762,0.171325039264841,-0.267,0.853,-0.461,0.749
"175","AT2G13360.1","alanine:glyoxylate aminotransferase;Encodes a peroxisomal photorespiratory enzyme that catalyzes transamination reactions with multiple substrates. It is involved in photorespiration.","peroxisome",5539240,5541355,"reverse","Nucleus",0.00172862051445515,0.998939767660952,-0.243,0.606,0.086,0.788,0.483809807294286,0.0345611445602,-0.249,0.805,-0.531,0.341
"176","AT2G13560.1","NAD-dependent malic enzyme 1;Encodes an NAD-dependent malic enzyme (NAD-ME) that does not act on oxaloacetate, indicating that it belongs to EC 1.1.1.39. It is a member of the alpha family of NAD-MEs in plants. It appears to function as a homodimer or as a heterodimer with the beta-type NAD-ME2 (At4g00570). NAD-ME1 transcript and protein levels are higher during the night than during the day.","mitochondrion",5649964,5655320,"forward","Nucleus",0.0119653169529467,0.998022334505606,-0.242,0.17,-0.359,0.00576,-0.00933461953937855,0.947779219549606,-0.274,0.54,-0.365,0.0659
"177","AT2G14170.1","aldehyde dehydrogenase  6B2;Arabidopsis thaliana methylmalonate-semialdehyde dehydrogenase","mitochondrion,cytosol",5977356,5981899,"reverse","Nucleus",-0.0222017956404048,0.98388428624281,-0.1,0.66,-0.0159,0.823,-0.0309472800053795,0.865884045084046,-0.121,0.81,-0.0489,0.816
"178","AT2G15620.1","nitrite reductase 1;Involved in the second step of nitrate assimilation.  Its expression is induced by nitrate.","plastid",6810476,6812939,"forward","Nucleus",-0.00157721231528049,0.998022334505606,-0.0848,0.768,0.916,0.0176,-0.0488788251844137,0.854293165764699,-0.751,0.561,0.355,0.666
"179","AT2G15690.1","Tetratricopeptide repeat (TPR)-like superfamily protein;","mitochondrion",6830995,6833777,"reverse","Nucleus",0.00730080125733712,0.989686861006954,0.437,0.611,0.0622,0.822,0.0511951432440983,0.777974721888048,1.39,0.418,-0.184,0.814
"180","AT2G16460.1","Protein of unknown function (DUF1640);","mitochondrion",7133390,7135652,"reverse","Nucleus",-0.0007708849711781,0.999711578275955,0.0795,0.782,0.393,0.639,-0.0704849077692117,0.713414641090508,-0.549,0.776,-0.0097,0.854
"181","AT2G16710.1","Iron-sulphur cluster biosynthesis family protein;","mitochondrion",7248138,7250291,"forward","Nucleus",0.0213970175498558,0.960911431028224,1.16,0.141,0.134,0.801,0.0466102333104379,0.811009036351012,1.1,0.597,-0.516,0.692
"182","AT2G17130.1","isocitrate dehydrogenase subunit 2;Encodes a regulatory subunit of the mitochondrially-localized NAD+- dependent isocitrate dehydrogenase.","mitochondrion",7460814,7462554,"reverse","Nucleus",-0.0149551528176431,0.98388428624281,-0.256,0.354,-0.39,0.0565,-0.209995889617785,0.139103999812937,-0.166,0.798,-0.262,0.488
"183","AT2G17420.1","NADPH-dependent thioredoxin reductase A;NADPH-dependent thioredoxin reductase, major cytosolic isoform","peroxisome",7564345,7566539,"forward","Nucleus",-0.0227290976154975,0.97415947121779,-0.0107,0.802,0.18,0.79,-0.0450073288261189,0.773552289803831,0.0269,0.879,0.614,0.673
"184","AT2G17630.1","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;","plastid",7666585,7668065,"forward","Nucleus",-0.0103900869313567,0.987401041338587,0.0922,0.749,-0.312,0.458,-0.201030378907523,0.23444896520022,-0.669,0.482,-0.437,0.433
"185","AT2G18020.1","RPL8A","cytosol",7837102,7838304,"forward","Nucleus",0.0170006222073753,0.998022334505606,-0.0702,0.784,-0.316,0.689,0.149907197378672,0.23038515804218,-0.312,0.832,-1.07,0.23
"186","AT2G18020.2","RPL8C","cytosol",7837102,7838304,"forward","Nucleus",0.0170006222073753,0.998022334505606,-0.386,0.626,-0.281,0.713,0.149907197378672,0.23038515804218,-0.562,0.765,-0.96,0.304
"187","AT2G18330.1","AAA-type ATPase family protein;","mitochondrion",7965635,7969105,"forward","Nucleus",0.164979107148647,0.416522978793113,-0.21,0.687,-0.145,0.762,0.150544226969482,0.231603106724081,-1.16,0.281,-0.0735,0.833
"188","AT2G19080.1","metaxin-related;","mitochondrion",8262750,8264964,"forward","Nucleus",0.00165264804973505,0.998939767660952,-0.117,0.778,-0.862,0.349,-0.0797404604873098,0.724559396605965,-0.246,0.856,-0.0844,0.842
"189","AT2G19680.1","Mitochondrial ATP synthase subunit G protein;","mitochondrion",8501422,8502829,"forward","Nucleus",0.00863532133140379,0.995758810089838,-0.0552,0.781,-0.15,0.753,0.137351541768551,0.446496403828089,0.111,0.859,-0.106,0.819
"190","AT2G19730.1","Ribosomal L28e protein family;","cytosol",8511510,8513221,"forward","Nucleus",0.100039069084783,0.660590832195253,-0.42,0.651,0.152,0.796,0.0447842777998379,0.698204500057735,-1.3,0.538,-0.181,0.82
"191","AT2G19860.1","hexokinase 2;Encodes a protein with hexokinase activity (AtHXK2) and acts as a sensor for plant sugar responses.","mitochondrion",8570750,8574000,"forward","Nucleus",-0.0131011947033761,0.997071830241766,-0.0153,0.798,-0.196,0.689,0.0343711862802413,0.823417459654275,0.0368,0.874,-0.193,0.763
"192","AT2G20060.1","Ribosomal protein L4/L1 family;","mitochondrion",8659043,8661489,"forward","Nucleus",0.0589091581440829,0.808427394768935,-0.0697,0.783,0.934,0.0969,0.18456829713473,0.0727398322472472,-0.316,0.83,0.133,0.824
"193","AT2G20270.1","Thioredoxin superfamily protein;","plastid",8737786,8739660,"reverse","Nucleus",0.00874618788442847,0.99686717357854,-0.263,0.635,-0.778,0.0467,0.335122998004181,0.0304618819519268,-0.0801,0.867,0.138,0.806
"194","AT2G20360.1","NAD(P)-binding Rossmann-fold superfamily protein;","mitochondrion",8785988,8789473,"forward","Nucleus",0.0434549212288565,0.884607538659172,-0.39,0.475,-0.15,0.752,0.248689191743497,0.0145181129996845,-0.703,0.564,-0.2,0.771
"195","AT2G20420.1","ATP citrate lyase (ACL) family protein;","mitochondrion",8805453,8808120,"forward","Nucleus",0.0200909631551946,0.979254198372953,-0.343,0.0533,-0.264,0.095,0.102020867962407,0.419025942682453,-0.32,0.494,-0.206,0.455
"196","AT2G20530.1","prohibitin 6;","mitochondrion",8841972,8844000,"forward","Nucleus",0.0966681907396482,0.637638626597063,-0.757,0.445,0.079,0.82,0.327872665188102,9.64686548012464e-05,-0.914,0.701,0.0987,0.839
"197","AT2G20800.1","NAD(P)H dehydrogenase B4;","mitochondrion",8953252,8955761,"reverse","Nucleus",0.00425813713905125,0.987401041338587,-0.174,0.745,-0.565,0.447,-0.172539605773356,0.388789407923685,0.0204,0.879,-0.202,0.804
"198","AT2G21170.1","triosephosphate isomerase;Encodes a plastidic triose phosphate isomerase. Mutants with reduced pdTPI levels have difficulty transitioning from heterotrophic to autotrophic growth. The related phenotypes, such as chlorosis in light-grown seedlings may result from an accumulation of dihydroxyacetone phosphate (DHAP) and methylglyoxal (MG) in these mutants. Both splice variants appear to be expressed, but the At2g21170.2 variant appears to have a much narrower expression range limited to roots.","plastid",9070754,9073233,"reverse","Nucleus",0.0232873881664915,0.956156101149014,-0.299,0.637,0.138,0.777,0.496234556211014,0.000140544138193931,-0.575,0.708,0.0334,0.847
"199","AT2G21640.1",";Encodes a protein of unknown function that is a marker for oxidative stress response.","mitochondrion",9254459,9255625,"forward","Nucleus",0.0177433644929074,0.844777682289795,-0.136,0.773,0.118,0.811,0.110564924562671,0.625229330753381,-0.617,0.796,0.583,0.701
"200","AT2G21870.1","copper ion binding;cobalt ion binding;zinc ion binding;","mitochondrion",9320198,9322734,"reverse","Nucleus",0.0345519059194185,0.956156101149014,-1.54,0.034,0.0113,0.837,0.0679946258549494,0.341184342164881,-1.05,0.612,0.00979,0.854
"201","AT2G22780.1","peroxisomal NAD-malate dehydrogenase 1;encodes an peroxisomal NAD-malate dehydrogenase that is involved in fatty acid beta-oxidation through providing NAD to the process of converting fatty acyl CoA to acetyl CoA.","peroxisome",9689415,9692154,"reverse","Nucleus",0.0212837795301636,0.956156101149014,0.392,0.737,0.298,0.788,1.21033729956209,2.12216493767342e-17,0.484,0.846,0.351,0.813
"202","AT2G26080.1","glycine decarboxylase P-protein 2;","mitochondrion",11109003,11113828,"reverse","Nucleus",-0.0222104077615917,0.978892720384414,0.605,0.000596,0.558,0.000181,-0.0601792509982094,0.550376588664703,0.503,0.274,0.432,0.0816
"203","AT2G26140.1","FTSH protease 4;encodes an FtsH protease that is localized to the mitochondrion","mitochondrion",11131578,11135345,"reverse","Nucleus",0.00308858138207637,0.998939767660952,0.539,0.215,-0.18,0.705,-0.031439163454987,0.817239548291124,-0.191,0.832,-0.155,0.786
"204","AT2G26230.1","uricase / urate oxidase / nodulin 35, putative;","peroxisome",11164575,11167195,"forward","Nucleus",0.00106512883218637,0.999711578275955,0.11,0.749,-0.0687,0.806,-0.0226513701535287,0.909901930789031,-0.525,0.675,-0.262,0.724
"205","AT2G26800.1","Aldolase superfamily protein;","mitochondrion",11429022,11432732,"reverse","Nucleus",-0.0233739042950322,0.874703280272726,0.768,0.23,-0.761,0.155,-0.152271258845294,0.420553386430219,-0.442,0.787,-0.532,0.591
"206","AT2G27510.1","ferredoxin 3;","plastid",11758079,11759476,"reverse","Nucleus",-0.0106238624267424,0.995758810089838,0.0117,0.802,0.168,0.786,-0.00687484106292265,0.977345431602204,-0.344,0.833,0.664,0.59
"207","AT2G27730.1","copper ion binding;","mitochondrion",11819829,11821878,"reverse","Nucleus",0.00840539404932821,0.998022334505606,0.22,0.772,-0.136,0.82,0.0143104965604994,0.92162272757179,-0.851,0.811,-0.137,0.842
"208","AT2G28000.1","chaperonin-60alpha;Encodes chaperonin-60 alpha, a molecular chaperone involved in Rubisco folding.  Mutants display aberrant chloroplast and embryo development.","plastid",11926449,11929389,"forward","Nucleus",0.014142098277002,0.98388428624281,-0.427,0.607,-0.336,0.682,0.517225701196447,0.000219050390597597,-0.827,0.668,0.0128,0.853
"209","AT2G28190.1","copper/zinc superoxide dismutase 2;Encodes a chloroplastic copper/zinc superoxide dismutase CSD2 that can detoxify superoxide radicals. Its expression is affected by miR398-directed mRNA cleavage.","plastid",12014498,12016569,"forward","Nucleus",-0.00965945414167214,0.970224950517315,0.193,0.735,-0.198,0.761,0.0483461027283637,0.854902723640176,-0.24,0.845,-0.172,0.813
"210","AT2G28900.1","outer plastid envelope protein 16-1;Encodes AtOEP16, a 16-KDa plastid outer membrane protein involved in plastid import of protochlorophyllide oxidoreductase A.  Predominantly expressed in leaves and is also inducible by cold treatment.","plastid",12414114,12415578,"reverse","Nucleus",0.0177701058072186,0.86627517775711,-0.895,0.0615,-0.0704,0.809,0.161755185812383,0.436634958899858,-0.347,0.793,-0.125,0.814
"211","AT2G29080.1","FTSH protease 3;encodes an FtsH protease that is localized to the mitochondrion","mitochondrion",12489627,12493285,"reverse","Nucleus",0.00308618525259919,0.998939767660952,-0.155,0.737,-0.533,0.331,-0.0742101654443155,0.504172739782218,-0.0495,0.874,-0.275,0.75
"212","AT2G29530.1","Tim10/DDP family zinc finger protein;Encodes a small zinc finger-like protein that is a component of the mitochondrial protein import apparatus.","mitochondrion,cytosol",12640800,12642387,"reverse","Nucleus",0.024750570999103,0.951466818789775,-0.0855,0.793,-1.02,0.511,0.271976125406192,0.0519489316146743,0.0859,0.876,-1.32,0.541
"213","AT2G30490.1","cinnamate-4-hydroxylase;Encodes a cinnamate-4-hydroxylase. Mutations in this gene impact phenylpropanoid metabolism, growth and development.","endoplasmic,reticulum",12993663,12995770,"reverse","Nucleus",-0.0172049330010961,0.981802352852279,-0.37,0.535,-0.132,0.772,-0.287182095914492,0.0437834656614391,-1.28,0.218,-0.381,0.648
"214","AT2G30920.1","coenzyme Q 3;The enzyme encoded by this gene has been shown to complement the Saccharomyces cerevisiae coq3 mutation and, therefore, to have hexaprenyldihydroxybenzoate methyltransferase activity.  It is however likely that, in Arabidopsis, the enzyme catalyzes the methylation of nonaprenyldihydroxybenzoate as it is the prevalent polyprenoid in this plant species. The enzyme is a mitochondrial-localized methyltransferase involved in ubiquinone biosynthesis.","mitochondrion",13157133,13159932,"reverse","Nucleus",0.0168537683161976,0.970224950517315,0.182,0.737,0.362,0.635,0.121250025224006,0.507414817924006,-0.271,0.837,0.366,0.727
"215","AT2G30970.1","aspartate aminotransferase 1;ASPARTATE AMINOTRANSFERASE 1","mitochondrion",13178849,13181931,"forward","Nucleus",0.014513791593427,0.951466818789775,-0.251,0.353,-0.0997,0.716,0.933184101990919,1.71991308873766e-08,0.188,0.777,-0.182,0.654
"216","AT2G31060.1","elongation factor family protein;","mitochondrion",13213100,13218724,"reverse","Nucleus",0.0652587423420834,0.707897390631697,0.485,0.0191,0.673,1.26e-05,0.483205774832315,0.000343498729297454,0.419,0.44,0.691,0.00195
"217","AT2G31140.1","Peptidase S24/S26A/S26B/S26C family protein;","mitochondrion",13269926,13271811,"forward","Nucleus",-0.00715023165631594,0.998022334505606,0.414,0.412,-0.272,0.601,0.00650621607805503,0.968967767007019,-0.0888,0.863,-0.117,0.811
"218","AT2G31240.1","Tetratricopeptide repeat (TPR)-like superfamily protein;","mitochondrion",13317415,13319560,"reverse","Nucleus",0.00388837859842045,0.998022334505606,0.758,0.118,-0.181,0.732,0.00675894009560459,0.976832017377021,0.638,0.622,-0.0735,0.833
"219","AT2G31490.1","neuronal acetylcholine receptor subunit alpha-5;(source:Araport11)","mitochondrion",13411983,13413246,"forward","Nucleus",0.0228855179284138,0.970224950517315,-0.432,0.62,-0.0389,0.829,0.235308442769042,0.0240121763885784,-0.593,0.772,0.523,0.675
"220","AT2G31670.1","Stress responsive alpha-beta barrel domain protein;","peroxisome",13472537,13473504,"reverse","Nucleus",-0.00581099562063725,0.998022334505606,-0.34,0.579,-0.425,0.446,0.0315818097226564,0.875273021443969,-0.382,0.783,-0.433,0.607
"221","AT2G31725.1","Eukaryotic protein of unknown function (DUF842);","nucleus",13486317,13487445,"reverse","Nucleus",0.00317925269968939,0.998939767660952,-0.418,0.511,-0.0891,0.802,-0.0953550924718874,0.670364726272703,-0.772,0.586,-0.0194,0.851
"222","AT2G33040.1","gamma subunit of Mt ATP synthase;","mitochondrion",14018690,14021183,"reverse","Nucleus",-0.0242198283978496,0.97415947121779,1.63,0.0539,0.639,0.53,0.0380773238901808,0.763428416208953,1.89,0.337,0.185,0.823
"223","AT2G33150.1","peroxisomal 3-ketoacyl-CoA thiolase 3;Encodes an organellar (peroxisome, glyoxysome) 3-ketoacyl-CoA thiolase, involved in fatty acid b-oxidation during germination and subsequent seedling growth. Mutants have defects in glyoxysomal fatty acid beta-oxidation. EC2.3.1.16 thiolase.","peroxisome",14047478,14051140,"reverse","Nucleus",0.0247354321674471,0.938221451056655,-0.457,0.256,0.266,0.541,1.36162872584902,1.9899342005622e-25,0.0298,0.875,0.837,0.0491
"224","AT2G33210.1","heat shock protein 60-2;","mitochondrion",14074907,14078731,"reverse","Nucleus",0.189850401354071,0.435615134088218,-0.0718,0.688,-0.155,0.376,0.488879423357217,0.000691509704540881,-0.0461,0.856,-0.12,0.671
"225","AT2G33220.1","B16.6/GRIM-19","mitochondrion",14078851,14080157,"forward","Nucleus",0.00755389115808659,0.998022334505606,-1.18,0.0195,-0.0522,0.82,-0.00955420831960266,0.970769696489031,-1.27,0.29,-0.0967,0.829
"226","AT2G33220.2","B16.6/GRIM-19.1","mitochondrion",14078851,14080157,"forward","Nucleus",0.00755389115808659,0.998022334505606,-0.0866,0.782,-0.0522,0.826,-0.00955420831960266,0.970769696489031,-0.699,0.752,-0.0967,0.838
"227","AT2G33585.1","subtilisin-like protease;(source:Araport11)","mitochondrion",14223200,14224167,"reverse","Nucleus",-0.015116894023612,0.956156101149014,-0.251,0.669,0.069,0.811,-0.227615013583818,0.24356223451801,-1.27,0.271,-0.231,0.769
"228","AT2G34420.1","LHB1B1","plastid",14522524,14523568,"reverse","Nucleus",0.00876328459353392,0.984115068714682,-0.866,0.613,-0.154,0.817,0.0868322644547793,0.707227750950401,-2.18,0.569,-0.727,0.75
"229","AT2G34420.2","LHB1B2","plastid",14522524,14523568,"reverse","Nucleus",0.00876328459353392,0.984115068714682,-0.942,0.574,-0.154,0.816,0.0868322644547793,0.707227750950401,-2.06,0.579,-0.727,0.744
"230","AT2G34590.1","E1-BETA-2","plastid",14568811,14570969,"reverse","Nucleus",0.0483673657031212,0.86627517775711,-0.9,0.0782,-0.343,0.578,0.261164460485665,0.00612776102063461,-1.21,0.294,-0.372,0.673
"231","AT2G34590.2","PDH-E1 BETA","plastid",14568811,14570969,"reverse","Nucleus",0.0483673657031212,0.86627517775711,-1.11,0.103,-0.18,0.774,0.261164460485665,0.00612776102063461,-1.43,0.357,-0.546,0.634
"232","AT2G34630.1","geranyl diphosphate synthase 1;Encodes a geranyl diphosphate synthase. RNAi lines are dwarf. T-DNA knock-out lines are embryo lethal.","mitochondrion",14578630,14581727,"forward","Nucleus",0.00413221892808752,0.998939767660952,1.06,0.242,0.747,0.411,0.0360883279658149,0.808941330928923,0.659,0.778,0.923,0.472
"233","AT2G35010.1","thioredoxin O1;","mitochondrion",14754271,14756129,"forward","Nucleus",0.0069766237541183,0.998022334505606,-0.262,0.313,-0.0926,0.726,-0.0435231396841404,0.830737997611887,-0.192,0.771,-0.0532,0.82
"234","AT2G35120.1","Single hybrid motif superfamily protein;","mitochondrion",14805639,14807369,"reverse","Nucleus",-0.0248020350377602,0.98388428624281,-0.327,0.109,-0.335,0.0463,-0.335374082616621,0.00491970433904323,-0.495,0.264,-0.432,0.0693
"235","AT2G35240.1","plastid developmental protein DAG, putative;","mitochondrion",14844940,14846304,"reverse","Nucleus",0.0188225910691393,0.970224950517315,1.59,0.0431,0.389,0.688,0.367993442423306,0.00664258859637782,1.28,0.556,0.191,0.819
"236","AT2G35370.1","glycine decarboxylase complex H;Encodes glycine decarboxylase complex H protein. Involved in photorespiration.","mitochondrion",14891102,14892218,"forward","Nucleus",0.0216539520651617,0.908224358067926,-0.581,0.0651,-0.0405,0.813,0.685810121515497,0.000116568545857982,-0.635,0.41,0.032,0.842
"237","AT2G35690.1","acyl-CoA oxidase 5;Encodes an acyl-CoA oxidase. Involved in jasmonate biosynthesis. Expressed uniformly in seedlings and throughout development.","peroxisome",14999754,15003066,"forward","Nucleus",-0.00108743764086734,0.999108352988235,0.28,0.629,-0.132,0.772,0.13006087094839,0.43371010037883,-0.0449,0.874,-0.416,0.611
"238","AT2G35720.1","DNAJ heat shock N-terminal domain-containing protein;Encodes OWL1, a J-domain protein involved in perception of very low light fluences.","peroxisome",15016670,15020011,"forward","Nucleus",0.184849994080382,0.28402862683695,-0.537,0.589,0.283,0.745,0.427325216106737,6.65699824562031e-06,-0.535,0.803,-0.384,0.762
"239","AT2G35790.1","transmembrane protein;(source:Araport11)","mitochondrion",15040679,15042123,"forward","Nucleus",0.0275822177463213,0.949504117480265,-0.109,0.779,-0.13,0.807,0.259683318080858,0.0194331158393561,-0.409,0.831,1.05,0.399
"240","AT2G35795.1","Chaperone DnaJ-domain superfamily protein;","mitochondrion",15042175,15043575,"forward","Nucleus",0.00923791679049171,0.998022334505606,0.69,0.201,0.113,0.787,0.0690677544937822,0.707922882428756,-0.505,0.729,0.369,0.671
"241","AT2G35900.1","Mal d 1-associated protein;(source:Araport11)","nucleus",15069997,15071653,"reverse","Nucleus",0.0186649854475087,0.970224950517315,-0.492,0.523,0.0969,0.806,0.146011834788833,0.370492155309319,-0.838,0.627,-0.326,0.749
"242","AT2G36070.1","translocase inner membrane subunit 44-2;One of two genes in Arabidopsis that encode a putative subunit of the mitochondrial inner membrane translocase complex. TIM44 subunit is thought to provide the energy for translocation via hydrolysis of ATP.","mitochondrion",15144836,15148131,"reverse","Nucleus",0.00777683372170636,0.998022334505606,-0.948,0.159,0.0657,0.819,0.15609407612654,0.164946156978425,-0.354,0.821,0.0786,0.838
"243","AT2G37230.1","Tetratricopeptide repeat (TPR)-like superfamily protein;","plastid",15637046,15639522,"reverse","Nucleus",0.0281345805569101,0.963683703552494,-0.00117,0.804,0.512,0.0525,0.0995645948905421,0.384014432206774,-0.197,0.808,0.463,0.292
"244","AT2G37250.1","adenosine kinase;encodes adenylate kinase that is located in the chloroplast involved in the coordination of metabolism and growth","plastid",15641906,15643786,"forward","Nucleus",0.0213433716694084,0.956156101149014,2.18,2.67e-08,2.82,2.97e-14,0.0402314097275631,0.791711575255324,2.18,0.0051,3,7.56e-13
"245","AT2G37270.1","RPS5A","cytosol",15647677,15649218,"reverse","Nucleus",0.0334724858111414,0.93605096232075,-0.411,0.662,0.249,0.761,0.224554223369054,0.033344944818369,-0.264,0.851,-0.7,0.614
"246","AT2G37270.2","RPS5B","cytosol",15647677,15649218,"reverse","Nucleus",0.0334724858111414,0.93605096232075,-0.846,0.294,0.249,0.748,0.224554223369054,0.033344944818369,-0.324,0.836,-0.604,0.627
"247","AT2G37410.1","translocase inner membrane subunit 17-2;Mitochondrial inner membrane translocase. Together with AtTIM17-1, TIM17-2 has a long C-terminal extension not present in other TIMs. The extension is located in the outer membrane and so TIM17-2 links the inner and outer mitochondrial membranes. The C-terminal region is essential for protein import into mitochondria via the general import pathway but is not necessary for import via the carrier pathway.","mitochondrion",15697842,15699275,"reverse","Nucleus",0.0374201602273865,0.970224950517315,0.437,0.643,1.18,0.0868,-0.0377320333429555,0.670725790460537,-0.516,0.805,0.106,0.837
"248","AT2G38040.1","acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit;encodes the carboxyltransferase alpha subunit of acetyl-CoA carboxylase, involved in de novo fatty acid biosynthesis","plastid",15917093,15921170,"forward","Nucleus",0.0180053176551576,0.998939767660952,-0.00464,0.803,-0.452,0.405,-0.104234088911577,0.463888264120609,-0.209,0.839,-0.00351,0.855
"249","AT2G38280.1","AMP deaminase, putative / myoadenylate deaminase, putative;Encodes a protein with in vitro AMP deaminase activity that is involved in embryogenesis. Homozygous mutant embryos fail to develop past the zygote stage.","endoplasmic,reticulum,plasma,membrane",16033449,16038876,"reverse","Nucleus",0.0110029508634349,0.995758810089838,-0.665,0.0251,0.00974,0.834,-0.189849506111763,0.138308116811573,-1.27,0.0116,0.0632,0.825
"250","AT2G38530.1","lipid transfer protein 2;Involved in lipid transfer between membranes. Belongs to a family of Lipid transfer proteins. Sequence similarity to other plant/Arabidopsis LPT genes but highest similarity to LPT1. Stress and pathogen-inducible motifs found in the upstream region. Expressed in flower, leaves and siliques but absent in roots. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.","extracellular",16128378,16129158,"forward","Nucleus",0.007003756175425,0.989686861006954,-0.0402,0.789,0.269,0.662,0.293458524380868,0.178539023753842,-0.564,0.698,-0.257,0.751
"251","AT2G39270.1","P-loop containing nucleoside triphosphate hydrolases superfamily protein;","mitochondrion",16399972,16401671,"forward","Nucleus",0.0201128802924333,0.970224950517315,0.489,0.569,-0.104,0.807,-0.0357656242875759,0.845109709136145,0.337,0.83,0.229,0.799
"252","AT2G39730.1","rubisco activase;Rubisco activase, a nuclear-encoded chloroplast protein that consists of two isoforms arising from alternative splicing in most plants. Required for the light activation of rubisco.","plastid",16570746,16573548,"reverse","Nucleus",0.00328141066097312,0.998022334505606,-0.279,0.728,-0.225,0.777,0.219941295426812,0.306796766031329,-0.621,0.794,-1.74,0.102
"253","AT2G40765.1","transmembrane protein;(source:Araport11)","mitochondrion",17012198,17013325,"forward","Nucleus",0.22720852986018,0.151639565988319,-0.212,0.705,-0.0915,0.803,0.263455622476067,0.0120654558025524,-0.432,0.777,-0.251,0.765
"254","AT2G41220.1","glutamate synthase 2;Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression is most abundant in root.","plastid",17177664,17188751,"forward","Nucleus",-0.0121239540401702,0.989686861006954,0.0453,0.787,0.327,0.579,-0.343850642776228,0.018091409563498,-0.44,0.754,-0.0397,0.845
"255","AT2G41600.1","Mitochondrial glycoprotein family protein;","cytosol,mitochondrion",17344637,17346737,"reverse","Nucleus",0.017617316769716,0.970224950517315,0.00728,0.803,-0.66,0.275,0.153961175440988,0.377878788441833,0.0866,0.869,-0.993,0.233
